['seofreedom', 202541110, 'impression', '2', 240457918L, datetime.datetime(2013, 5, 15, 19, 25, 32), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '3', 240457970L, datetime.datetime(2013, 5, 15, 19, 25, 32), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'view_full_application_via_name', '4', 240462716L, datetime.datetime(2013, 5, 15, 19, 25, 40), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'impression', '2', 240457918L, datetime.datetime(2013, 5, 15, 19, 51, 47), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '1', 240454645L, datetime.datetime(2013, 5, 15, 19, 51, 47), 0.296277447671686, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240462860L, datetime.datetime(2013, 5, 15, 19, 51, 47), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '4', 240462716L, datetime.datetime(2013, 5, 15, 19, 51, 47), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'impression', '3', 240457970L, datetime.datetime(2013, 5, 15, 19, 51, 47), 0.140192547489269, False, 'best']

['seofreedom', 202541110, 'impression', '3', 240457970L, datetime.datetime(2013, 5, 16, 7, 27, 39), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'impression', '2', 240457918L, datetime.datetime(2013, 5, 16, 7, 27, 39), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240462860L, datetime.datetime(2013, 5, 16, 7, 27, 39), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '1', 240454645L, datetime.datetime(2013, 5, 16, 7, 27, 39), 0.296277447671686, False, 'best']
['seofreedom', 202541110, 'impression', '4', 240462716L, datetime.datetime(2013, 5, 16, 7, 27, 39), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'expand_tile', '5', 240462860L, datetime.datetime(2013, 5, 16, 7, 27, 49), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'collapse_tile', '5', 240462860L, datetime.datetime(2013, 5, 16, 7, 27, 54), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'expand_tile', '5', 240462860L, datetime.datetime(2013, 5, 16, 7, 27, 56), 0.759619212543421, False, 'best']

['seofreedom', 202541110, 'impression', '4', 240462716L, datetime.datetime(2013, 5, 16, 8, 33, 18), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'impression', '3', 240457970L, datetime.datetime(2013, 5, 16, 8, 33, 18), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'impression', '2', 240457918L, datetime.datetime(2013, 5, 16, 8, 33, 18), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240462860L, datetime.datetime(2013, 5, 16, 8, 33, 18), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '1', 240454645L, datetime.datetime(2013, 5, 16, 8, 33, 18), 0.296277447671686, False, 'best']

['seofreedom', 202541110, 'impression', '3', 240462716L, datetime.datetime(2013, 5, 16, 18, 11, 33), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'impression', '2', 240462860L, datetime.datetime(2013, 5, 16, 18, 11, 33), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '4', 240454645L, datetime.datetime(2013, 5, 16, 18, 11, 33), 0.296277447671686, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240457970L, datetime.datetime(2013, 5, 16, 18, 11, 33), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'impression', '1', 240457918L, datetime.datetime(2013, 5, 16, 18, 11, 33), 0.813093440960761, False, 'best']

['seofreedom', 202541110, 'impression', '1', 240457918L, datetime.datetime(2013, 5, 16, 19, 18, 4), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240457970L, datetime.datetime(2013, 5, 16, 19, 18, 4), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'impression', '2', 240462860L, datetime.datetime(2013, 5, 16, 19, 18, 4), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '4', 240454645L, datetime.datetime(2013, 5, 16, 19, 18, 4), 0.296277447671686, False, 'best']
['seofreedom', 202541110, 'impression', '3', 240462716L, datetime.datetime(2013, 5, 16, 19, 18, 4), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'view_full_application_via_name', '5', 240457970L, datetime.datetime(2013, 5, 16, 19, 21, 22), 0.140192547489269, False, 'best']

['seofreedom', 202541110, 'impression', '4', 240454645L, datetime.datetime(2013, 5, 21, 8, 52, 35), 0.296277447671686, False, 'best']
['seofreedom', 202541110, 'impression', '2', 240462860L, datetime.datetime(2013, 5, 21, 8, 52, 35), 0.759619212543421, False, 'best']
['seofreedom', 202541110, 'impression', '5', 240457970L, datetime.datetime(2013, 5, 21, 8, 52, 35), 0.140192547489269, False, 'best']
['seofreedom', 202541110, 'impression', '1', 240457918L, datetime.datetime(2013, 5, 21, 8, 52, 35), 0.813093440960761, False, 'best']
['seofreedom', 202541110, 'impression', '3', 240462716L, datetime.datetime(2013, 5, 21, 8, 52, 35), 0.758399905723319, True, 'best']
['seofreedom', 202541110, 'view_full_application_via_name', '3', 240462716L, datetime.datetime(2013, 5, 21, 8, 52, 40), 0.758399905723319, True, 'best']

