['edjohnson8890', 202584052, 'impression', '7', 241353406L, datetime.datetime(2013, 5, 27, 6, 53, 10), 0.00377693493686432, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241355258L, datetime.datetime(2013, 5, 27, 6, 53, 10), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 27, 6, 53, 10), 0.050204100010276, False, 'time']

['edjohnson8890', 202584052, 'impression', '8', 241355258L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241384649L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0781100202486032, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241454401L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0368830662817791, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '12', 241353414L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '11', 241353430L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241379398L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0497169817113321, False, 'time']
['edjohnson8890', 202584052, 'impression', '9', 241353724L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241391182L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0425160621893843, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241392051L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241389807L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.00840379307234519, False, 'time']
['edjohnson8890', 202584052, 'impression', '10', 241353639L, datetime.datetime(2013, 5, 28, 20, 29, 39), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'expand_tile', '5', 241389807L, datetime.datetime(2013, 5, 28, 20, 30, 9), 0.00840379307234519, False, 'time']
['edjohnson8890', 202584052, 'collapse_tile', '5', 241389807L, datetime.datetime(2013, 5, 28, 20, 30, 14), 0.00840379307234519, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241384649L, datetime.datetime(2013, 5, 28, 20, 30, 18), 0.0781100202486032, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241379398L, datetime.datetime(2013, 5, 28, 20, 30, 19), 0.0497169817113321, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241384649L, datetime.datetime(2013, 5, 28, 20, 30, 19), 0.0781100202486032, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241379398L, datetime.datetime(2013, 5, 28, 20, 30, 22), 0.0497169817113321, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241379398L, datetime.datetime(2013, 5, 28, 20, 30, 22), 0.0497169817113321, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241389807L, datetime.datetime(2013, 5, 28, 20, 30, 23), 0.00840379307234519, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241389807L, datetime.datetime(2013, 5, 28, 20, 30, 23), 0.00840379307234519, False, 'time']
['edjohnson8890', 202584052, 'impression', '8', 241355258L, datetime.datetime(2013, 5, 28, 20, 30, 23), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '8', 241355258L, datetime.datetime(2013, 5, 28, 20, 30, 24), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353724L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241392051L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241391182L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0425160621893843, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241353639L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241355258L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241454401L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0368830662817791, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '9', 241353414L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '8', 241353430L, datetime.datetime(2013, 5, 28, 20, 32, 53), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '1', 241464836L, datetime.datetime(2013, 5, 28, 20, 33), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241353639L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241355258L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353724L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241391182L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0425160621893843, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241392051L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '8', 241353430L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241454401L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0368830662817791, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '9', 241353414L, datetime.datetime(2013, 5, 28, 20, 33, 18), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241454401L, datetime.datetime(2013, 5, 28, 20, 33, 32), 0.0368830662817791, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241454401L, datetime.datetime(2013, 5, 28, 20, 33, 32), 0.0368830662817791, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241391182L, datetime.datetime(2013, 5, 28, 20, 33, 36), 0.0425160621893843, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241391182L, datetime.datetime(2013, 5, 28, 20, 33, 37), 0.0425160621893843, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '5', 241355258L, datetime.datetime(2013, 5, 28, 20, 33, 44), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '7', 241353414L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353430L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241355258L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353639L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241392051L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353724L, datetime.datetime(2013, 5, 28, 20, 34, 16), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241355258L, datetime.datetime(2013, 5, 28, 20, 34, 17), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241355258L, datetime.datetime(2013, 5, 28, 20, 34, 17), 0.141210666496697, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353724L, datetime.datetime(2013, 5, 28, 20, 34, 18), 0.050204100010276, False, 'time']

['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353414L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241392051L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353724L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 29, 1, 59, 4), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '4', 241353639L, datetime.datetime(2013, 5, 29, 1, 59, 26), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241392051L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353724L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353639L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '6', 241353414L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353430L, datetime.datetime(2013, 5, 29, 2, 1, 14), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241392051L, datetime.datetime(2013, 5, 29, 2, 1, 28), 0.0526651289985049, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '3', 241353724L, datetime.datetime(2013, 5, 29, 2, 1, 36), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 29, 2, 2, 58), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353414L, datetime.datetime(2013, 5, 29, 2, 2, 58), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 2, 58), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353430L, datetime.datetime(2013, 5, 29, 2, 2, 58), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353639L, datetime.datetime(2013, 5, 29, 2, 2, 58), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'shortlist', '3', 241353639L, datetime.datetime(2013, 5, 29, 2, 3, 1), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '5', 241353414L, datetime.datetime(2013, 5, 29, 2, 3, 7), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '3', 241353639L, datetime.datetime(2013, 5, 29, 2, 4, 59), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 29, 2, 4, 59), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'impression', '4', 241353430L, datetime.datetime(2013, 5, 29, 2, 4, 59), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 4, 59), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353414L, datetime.datetime(2013, 5, 29, 2, 4, 59), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'impression', '5', 241353414L, datetime.datetime(2013, 5, 29, 2, 5, 3), 0.0370747207673538, False, 'time']
['edjohnson8890', 202584052, 'expand_tile', '4', 241353430L, datetime.datetime(2013, 5, 29, 2, 5, 4), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353724L, datetime.datetime(2013, 5, 29, 2, 5, 17), 0.050204100010276, False, 'time']
['edjohnson8890', 202584052, 'expand_tile', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 5, 20), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 5, 23), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'expand_tile', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 5, 28), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'expand_tile', '1', 241464836L, datetime.datetime(2013, 5, 29, 2, 5, 36), 0.0388051053668319, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '3', 241353639L, datetime.datetime(2013, 5, 29, 2, 5, 46), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353430L, datetime.datetime(2013, 5, 29, 2, 8, 30), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241353639L, datetime.datetime(2013, 5, 29, 2, 8, 30), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '2', 241353430L, datetime.datetime(2013, 5, 29, 2, 8, 38), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '2', 241353430L, datetime.datetime(2013, 5, 29, 2, 8, 52), 0.0220063131425534, False, 'time']
['edjohnson8890', 202584052, 'impression', '1', 241353639L, datetime.datetime(2013, 5, 29, 2, 8, 52), 0.0124401776989081, False, 'time']
['edjohnson8890', 202584052, 'view_full_application_via_name', '1', 241353639L, datetime.datetime(2013, 5, 29, 2, 8, 53), 0.0124401776989081, False, 'time']

