['jeremyessen', 202571051, 'impression', '4', 241065915L, datetime.datetime(2013, 5, 24, 6, 9, 48), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241095810L, datetime.datetime(2013, 5, 24, 6, 9, 48), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '4', 241065888L, datetime.datetime(2013, 5, 24, 6, 39, 25), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241066878L, datetime.datetime(2013, 5, 24, 6, 39, 25), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065915L, datetime.datetime(2013, 5, 24, 6, 39, 25), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 24, 6, 39, 25), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241066878L, datetime.datetime(2013, 5, 24, 6, 40, 5), 0.147132368140932, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '3', 241065915L, datetime.datetime(2013, 5, 24, 6, 40, 13), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 24, 6, 40, 18), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 24, 6, 40, 18), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '3', 241065888L, datetime.datetime(2013, 5, 24, 6, 40, 18), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 24, 6, 40, 19), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065915L, datetime.datetime(2013, 5, 24, 6, 40, 20), 0.269182710664518, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 24, 6, 41, 51), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065888L, datetime.datetime(2013, 5, 24, 6, 41, 51), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065888L, datetime.datetime(2013, 5, 24, 6, 42, 40), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 24, 6, 42, 40), 0.283069386854751, True, 'time']

['jeremyessen', 202571051, 'impression', '1', 241095810L, datetime.datetime(2013, 5, 24, 10, 52, 27), 0.283069386854751, True, 'time']
['jeremyessen', 202571051, 'impression', '2', 241065888L, datetime.datetime(2013, 5, 24, 10, 52, 27), 0.561237278079868, False, 'time']
['jeremyessen', 202571051, 'view_full_application_via_name', '1', 241095810L, datetime.datetime(2013, 5, 24, 10, 52, 32), 0.283069386854751, True, 'time']

