['promotion2013', 202561652, 'expand_tile', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 15, 19), 0.0444260503527061, False, 'time']
['promotion2013', 202561652, 'expand_tile', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 16, 8), 0.0444260503527061, False, 'time']
['promotion2013', 202561652, 'hide', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 36, 11), 0.0444260503527061, False, 'time']
['promotion2013', 202561652, 'expand_tile', '14', 240886357L, datetime.datetime(2013, 5, 23, 6, 36, 11), 0.0444260503527061, False, 'time']
['promotion2013', 202561652, 'expand_tile', '15', 240885617L, datetime.datetime(2013, 5, 23, 6, 36, 13), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'collapse_tile', '15', 240885617L, datetime.datetime(2013, 5, 23, 7, 2, 51), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'expand_tile', '15', 240885617L, datetime.datetime(2013, 5, 23, 7, 2, 58), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'send_message', '15', 240885617L, datetime.datetime(2013, 5, 23, 7, 2, 59), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'expand_tile', '15', 240885617L, datetime.datetime(2013, 5, 23, 7, 3, 37), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'expand_tile', '16', 240885360L, datetime.datetime(2013, 5, 23, 7, 3, 39), 0.0369569366375492, False, 'time']
['promotion2013', 202561652, 'expand_tile', '16', 240885360L, datetime.datetime(2013, 5, 23, 7, 3, 43), 0.0369569366375492, False, 'time']
['promotion2013', 202561652, 'hide', '16', 240885360L, datetime.datetime(2013, 5, 23, 7, 3, 43), 0.0369569366375492, False, 'time']
['promotion2013', 202561652, 'expand_tile', '17', 240885292L, datetime.datetime(2013, 5, 23, 7, 3, 48), 0.0230524778917666, False, 'time']
['promotion2013', 202561652, 'hide', '17', 240885292L, datetime.datetime(2013, 5, 23, 7, 4, 41), 0.0230524778917666, False, 'time']
['promotion2013', 202561652, 'expand_tile', '17', 240885292L, datetime.datetime(2013, 5, 23, 7, 4, 42), 0.0230524778917666, False, 'time']
['promotion2013', 202561652, 'expand_tile', '18', 240882898L, datetime.datetime(2013, 5, 23, 7, 4, 44), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'expand_tile', '18', 240882898L, datetime.datetime(2013, 5, 23, 7, 10, 57), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'expand_tile', '19', 240882587L, datetime.datetime(2013, 5, 23, 7, 11), 0.0222650164625883, False, 'time']
['promotion2013', 202561652, 'expand_tile', '19', 240882587L, datetime.datetime(2013, 5, 23, 7, 12, 52), 0.0222650164625883, False, 'time']
['promotion2013', 202561652, 'hide', '19', 240882587L, datetime.datetime(2013, 5, 23, 7, 12, 52), 0.0222650164625883, False, 'time']
['promotion2013', 202561652, 'expand_tile', '20', 240882034L, datetime.datetime(2013, 5, 23, 7, 13), 0.0481814889447397, False, 'time']
['promotion2013', 202561652, 'expand_tile', '20', 240882034L, datetime.datetime(2013, 5, 23, 7, 13, 8), 0.0481814889447397, False, 'time']
['promotion2013', 202561652, 'hide', '20', 240882034L, datetime.datetime(2013, 5, 23, 7, 13, 8), 0.0481814889447397, False, 'time']
['promotion2013', 202561652, 'expand_tile', '21', 240881892L, datetime.datetime(2013, 5, 23, 7, 13, 10), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'expand_tile', '22', 240881877L, datetime.datetime(2013, 5, 23, 7, 14, 7), 0.0294545982096788, False, 'time']
['promotion2013', 202561652, 'hide', '22', 240881877L, datetime.datetime(2013, 5, 23, 7, 14, 38), 0.0294545982096788, False, 'time']
['promotion2013', 202561652, 'expand_tile', '22', 240881877L, datetime.datetime(2013, 5, 23, 7, 14, 39), 0.0294545982096788, False, 'time']
['promotion2013', 202561652, 'send_message', '21', 240881892L, datetime.datetime(2013, 5, 23, 7, 15, 17), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'expand_tile', '21', 240881892L, datetime.datetime(2013, 5, 23, 7, 15, 48), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'impression', '2', 240926398L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0413520312783418, False, 'time']
['promotion2013', 202561652, 'impression', '5', 240897621L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'impression', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'impression', '10', 240881892L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'impression', '1', 240933360L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.168439123863478, False, 'time']
['promotion2013', 202561652, 'impression', '4', 240907659L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'impression', '7', 240885617L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'impression', '3', 240917784L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0759133417819191, False, 'time']
['promotion2013', 202561652, 'impression', '8', 240882898L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'impression', '9', 240881994L, datetime.datetime(2013, 5, 23, 7, 17, 55), 0.0130432782096674, False, 'time']
['promotion2013', 202561652, 'view_full_application_via_message', '1', 240933360L, datetime.datetime(2013, 5, 23, 7, 18, 12), 0.168439123863478, False, 'time']
['promotion2013', 202561652, 'impression', '8', 240882898L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'impression', '9', 240881994L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0130432782096674, False, 'time']
['promotion2013', 202561652, 'impression', '3', 240917784L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0759133417819191, False, 'time']
['promotion2013', 202561652, 'impression', '7', 240885617L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'impression', '1', 240933360L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.168439123863478, False, 'time']
['promotion2013', 202561652, 'impression', '10', 240881892L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'impression', '4', 240907659L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'impression', '2', 240926398L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0413520312783418, False, 'time']
['promotion2013', 202561652, 'impression', '5', 240897621L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'impression', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 19, 40), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'expand_tile', '2', 240926398L, datetime.datetime(2013, 5, 23, 7, 19, 47), 0.0413520312783418, False, 'time']
['promotion2013', 202561652, 'impression', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'impression', '5', 240897621L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'impression', '2', 240926398L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0413520312783418, False, 'time']
['promotion2013', 202561652, 'impression', '10', 240881892L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'impression', '4', 240907659L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'impression', '1', 240933360L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.168439123863478, False, 'time']
['promotion2013', 202561652, 'impression', '9', 240881994L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0130432782096674, False, 'time']
['promotion2013', 202561652, 'impression', '8', 240882898L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'impression', '3', 240917784L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0759133417819191, False, 'time']
['promotion2013', 202561652, 'impression', '7', 240885617L, datetime.datetime(2013, 5, 23, 7, 21, 57), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 22, 7), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'send_message', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 23, 16), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'expand_tile', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 24, 44), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'impression', '6', 240894465L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0334749187875082, False, 'time']
['promotion2013', 202561652, 'impression', '2', 240926398L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0413520312783418, False, 'time']
['promotion2013', 202561652, 'impression', '5', 240897621L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0792621838318791, False, 'time']
['promotion2013', 202561652, 'impression', '8', 240882898L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0998861709600959, False, 'time']
['promotion2013', 202561652, 'impression', '10', 240881892L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0739599711492143, False, 'time']
['promotion2013', 202561652, 'impression', '4', 240907659L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0699977752750668, False, 'time']
['promotion2013', 202561652, 'impression', '1', 240933360L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.168439123863478, False, 'time']
['promotion2013', 202561652, 'impression', '7', 240885617L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0441581093562251, False, 'time']
['promotion2013', 202561652, 'impression', '3', 240917784L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0759133417819191, False, 'time']
['promotion2013', 202561652, 'impression', '9', 240881994L, datetime.datetime(2013, 5, 23, 7, 27, 9), 0.0130432782096674, False, 'time']

['promotion2013', 202561652, 'impression', '12', 240881994L, datetime.datetime(2013, 5, 24, 7, 23, 44), 0.0130432782096674, False, 'time']
['promotion2013', 202561652, 'impression', '1', 241170714L, datetime.datetime(2013, 5, 24, 7, 23, 44), 0.0434020629022032, False, 'time']
