['vcgcapital', 202591290, 'impression', '4', 241519137L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0439164508792999, False, 'time']
['vcgcapital', 202591290, 'impression', '9', 241518639L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0077230085222473, False, 'time']
['vcgcapital', 202591290, 'impression', '7', 241518980L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0271774559744405, False, 'time']
['vcgcapital', 202591290, 'impression', '8', 241518884L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0188558996995157, False, 'time']
['vcgcapital', 202591290, 'impression', '11', 241518386L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0285737189925441, False, 'time']
['vcgcapital', 202591290, 'impression', '5', 241519127L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0279926552431919, False, 'time']
['vcgcapital', 202591290, 'impression', '2', 241519959L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.0212434373037765, False, 'time']
['vcgcapital', 202591290, 'impression', '1', 241520276L, datetime.datetime(2013, 5, 29, 4, 45, 24), 0.032635270882325, False, 'time']

['vcgcapital', 202591290, 'impression', '3', 241520276L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.032635270882325, False, 'time']
['vcgcapital', 202591290, 'impression', '8', 241519048L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0154896242482592, False, 'time']
['vcgcapital', 202591290, 'impression', '4', 241519959L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0212434373037765, False, 'time']
['vcgcapital', 202591290, 'impression', '1', 241570955L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.054292684125513, False, 'time']
['vcgcapital', 202591290, 'impression', '5', 241519545L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0345358586483019, True, 'time']
['vcgcapital', 202591290, 'impression', '2', 241548429L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0440901023092783, False, 'time']
['vcgcapital', 202591290, 'impression', '7', 241519127L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0279926552431919, False, 'time']
['vcgcapital', 202591290, 'impression', '6', 241519137L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0439164508792999, False, 'time']
['vcgcapital', 202591290, 'impression', '10', 241518884L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0188558996995157, False, 'time']
['vcgcapital', 202591290, 'impression', '9', 241518980L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0271774559744405, False, 'time']
['vcgcapital', 202591290, 'impression', '11', 241518639L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0077230085222473, False, 'time']
['vcgcapital', 202591290, 'impression', '12', 241518386L, datetime.datetime(2013, 5, 29, 22, 2, 52), 0.0285737189925441, False, 'time']
['vcgcapital', 202591290, 'impression', '4', 241519959L, datetime.datetime(2013, 5, 29, 22, 4, 1), 0.0212434373037765, False, 'time']
