['emraan-zaman', 202584772, 'impression', '3', 241375351L, datetime.datetime(2013, 5, 28, 6, 42, 24), 0.0153911417566106, False, 'time']
['emraan-zaman', 202584772, 'impression', '4', 241368846L, datetime.datetime(2013, 5, 28, 6, 42, 42), 0.0271713332569677, False, 'time']
['emraan-zaman', 202584772, 'impression', '4', 241368846L, datetime.datetime(2013, 5, 28, 6, 42, 46), 0.0271713332569677, False, 'time']
['emraan-zaman', 202584772, 'impression', '2', 241375660L, datetime.datetime(2013, 5, 28, 6, 42, 50), 0.0309015531712425, False, 'time']
['emraan-zaman', 202584772, 'impression', '6', 241367215L, datetime.datetime(2013, 5, 28, 6, 42, 54), 0.0128807367323488, False, 'time']
['emraan-zaman', 202584772, 'impression', '7', 241367164L, datetime.datetime(2013, 5, 28, 6, 43, 10), 0.0349435401747212, False, 'time']
['emraan-zaman', 202584772, 'expand_tile', '7', 241367164L, datetime.datetime(2013, 5, 28, 6, 43, 11), 0.0349435401747212, False, 'time']
['emraan-zaman', 202584772, 'view_full_application_via_name', '5', 241368001L, datetime.datetime(2013, 5, 28, 6, 44, 47), 0.0228120072250133, True, 'time']

['emraan-zaman', 202584772, 'impression', '1', 241368001L, datetime.datetime(2013, 5, 29, 9, 57, 52), 0.0228120072250133, True, 'time']

