['garvintimothy', 202573214, 'impression', '9', 241130121L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0278498065181198, False, 'time']
['garvintimothy', 202573214, 'impression', '12', 241114741L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0164309205184208, False, 'time']
['garvintimothy', 202573214, 'impression', '2', 241180019L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0287456199465357, False, 'time']
['garvintimothy', 202573214, 'impression', '11', 241115054L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0209716578599203, False, 'time']
['garvintimothy', 202573214, 'impression', '13', 241114366L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0223839799843368, False, 'time']
['garvintimothy', 202573214, 'impression', '4', 241169108L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0259604614743444, False, 'time']
['garvintimothy', 202573214, 'impression', '14', 241114100L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0222458852194056, False, 'time']
['garvintimothy', 202573214, 'impression', '1', 241192915L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0239384637120683, False, 'time']
['garvintimothy', 202573214, 'impression', '5', 241167039L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0384129892061527, False, 'time']
['garvintimothy', 202573214, 'impression', '3', 241179834L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0369740848864428, False, 'time']
['garvintimothy', 202573214, 'impression', '6', 241134206L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0183881889944223, False, 'time']
['garvintimothy', 202573214, 'impression', '15', 241113208L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0674954131140358, False, 'time']
['garvintimothy', 202573214, 'impression', '7', 241132146L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.00964484630964527, False, 'time']
['garvintimothy', 202573214, 'impression', '8', 241130990L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.0421427684978188, False, 'time']
['garvintimothy', 202573214, 'impression', '10', 241123063L, datetime.datetime(2013, 5, 27, 16, 45, 49), 0.02282788528711, False, 'time']
['garvintimothy', 202573214, 'expand_tile', '12', 241114741L, datetime.datetime(2013, 5, 27, 16, 46, 16), 0.0164309205184208, False, 'time']
['garvintimothy', 202573214, 'view_full_application', '12', 241114741L, datetime.datetime(2013, 5, 27, 16, 46, 20), 0.0164309205184208, False, 'time']
['garvintimothy', 202573214, 'impression', '4', 241169108L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0259604614743444, False, 'time']
['garvintimothy', 202573214, 'impression', '15', 241113208L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0674954131140358, False, 'time']
['garvintimothy', 202573214, 'impression', '7', 241132146L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.00964484630964527, False, 'time']
['garvintimothy', 202573214, 'impression', '11', 241115054L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0209716578599203, False, 'time']
['garvintimothy', 202573214, 'impression', '2', 241180019L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0287456199465357, False, 'time']
['garvintimothy', 202573214, 'impression', '12', 241114741L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0164309205184208, False, 'time']
['garvintimothy', 202573214, 'impression', '9', 241130121L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0278498065181198, False, 'time']
['garvintimothy', 202573214, 'impression', '13', 241114366L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0223839799843368, False, 'time']
['garvintimothy', 202573214, 'impression', '8', 241130990L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0421427684978188, False, 'time']
['garvintimothy', 202573214, 'impression', '10', 241123063L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.02282788528711, False, 'time']
['garvintimothy', 202573214, 'impression', '3', 241179834L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0369740848864428, False, 'time']
['garvintimothy', 202573214, 'impression', '1', 241192915L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0239384637120683, False, 'time']
['garvintimothy', 202573214, 'impression', '14', 241114100L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0222458852194056, False, 'time']
['garvintimothy', 202573214, 'impression', '5', 241167039L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0384129892061527, False, 'time']
['garvintimothy', 202573214, 'impression', '6', 241134206L, datetime.datetime(2013, 5, 27, 16, 47, 17), 0.0183881889944223, False, 'time']

