['jhr01', 202546721, 'impression', '7', 240686446L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '4', 240725152L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '3', 240701095L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'impression', '8', 240745849L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'impression', '2', 240658426L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '6', 240631184L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '5', 240643938L, datetime.datetime(2013, 5, 20, 8, 31, 5), 0.214064789800288, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '2', 240658426L, datetime.datetime(2013, 5, 20, 8, 31, 7), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '2', 240658426L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '10', 240779438L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '9', 240759307L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.0753395729995861, False, 'best']
['jhr01', 202546721, 'impression', '8', 240745849L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'impression', '6', 240631184L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '5', 240643938L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.214064789800288, False, 'best']
['jhr01', 202546721, 'impression', '7', 240686446L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '4', 240725152L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '3', 240701095L, datetime.datetime(2013, 5, 20, 8, 34, 22), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '3', 240701095L, datetime.datetime(2013, 5, 20, 8, 34, 26), 0.306503588615072, False, 'best']

['jhr01', 202546721, 'impression', '7', 240631184L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '5', 240643938L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.214064789800288, False, 'best']
['jhr01', 202546721, 'impression', '6', 240815371L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.204082800749602, False, 'best']
['jhr01', 202546721, 'impression', '9', 240745849L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'impression', '2', 240658426L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '3', 240701095L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'impression', '4', 240725152L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '8', 240686446L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '11', 240779438L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '10', 240759307L, datetime.datetime(2013, 5, 20, 9, 49, 48), 0.0753395729995861, False, 'best']
['jhr01', 202546721, 'view_full_application_via_name', '4', 240725152L, datetime.datetime(2013, 5, 20, 9, 49, 56), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '11', 240779438L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.0309109714325931, False, 'best']
['jhr01', 202546721, 'impression', '10', 240759307L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.0753395729995861, False, 'best']
['jhr01', 202546721, 'impression', '9', 240745849L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.0777758670182356, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'impression', '3', 240701095L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'impression', '4', 240725152L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.216861653158764, False, 'best']
['jhr01', 202546721, 'impression', '8', 240686446L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.132025506984046, False, 'best']
['jhr01', 202546721, 'impression', '6', 240815371L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.204082800749602, False, 'best']
['jhr01', 202546721, 'impression', '2', 240658426L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '7', 240631184L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.193849452707461, False, 'best']
['jhr01', 202546721, 'impression', '5', 240643938L, datetime.datetime(2013, 5, 20, 9, 55, 37), 0.214064789800288, False, 'best']
['jhr01', 202546721, 'shortlist', '1', 240599955L, datetime.datetime(2013, 5, 20, 9, 55, 41), 0.422440702643813, False, 'best']
['jhr01', 202546721, 'shortlist', '3', 240701095L, datetime.datetime(2013, 5, 20, 9, 55, 43), 0.306503588615072, False, 'best']
['jhr01', 202546721, 'hide', '2', 240658426L, datetime.datetime(2013, 5, 20, 9, 55, 45), 0.314531784718568, False, 'best']
['jhr01', 202546721, 'impression', '1', 240599955L, datetime.datetime(2013, 5, 20, 9, 56, 16), 0.422440702643813, False, 'best']
