['kmohanta', 202555875, 'impression', '5', 240770113L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.142150950979071, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '9', 240766545L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240768561L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240767339L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '11', 240767382L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.0644391960184272, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 27, 4), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '11', 240767382L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.0644391960184272, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240768561L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '9', 240766545L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240770113L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.142150950979071, False, 'best']
['kmohanta', 202555875, 'impression', '10', 240774465L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240767827L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.101734351217285, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240767339L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 32, 28), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'expand_tile', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 33, 28), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'hide', '5', 240770113L, datetime.datetime(2013, 5, 21, 15, 34, 7), 0.142150950979071, False, 'best']
