['teresehatter', 202564488, 'impression', '4', 240947690L, datetime.datetime(2013, 5, 22, 13, 34, 27), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240951413L, datetime.datetime(2013, 5, 22, 13, 34, 27), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946417L, datetime.datetime(2013, 5, 22, 13, 34, 57), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'expand_tile', '8', 240946417L, datetime.datetime(2013, 5, 22, 13, 35), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'view_full_application', '8', 240946417L, datetime.datetime(2013, 5, 22, 13, 35, 6), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '3', 240953450L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.288765127074657, False, 'best']
['teresehatter', 202564488, 'impression', '14', 240948011L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.132504812741716, False, 'best']
['teresehatter', 202564488, 'impression', '10', 240955155L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.18068668289782, False, 'best']
['teresehatter', 202564488, 'impression', '5', 240956239L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.282895855848623, False, 'best']
['teresehatter', 202564488, 'impression', '7', 240947075L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.222214181280949, False, 'best']
['teresehatter', 202564488, 'impression', '1', 241015774L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.365917537152843, False, 'best']
['teresehatter', 202564488, 'impression', '4', 240947690L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.285619251140722, False, 'best']
['teresehatter', 202564488, 'impression', '12', 240946462L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.153223938104586, False, 'best']
['teresehatter', 202564488, 'impression', '18', 240951413L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.0941866097191373, False, 'best']
['teresehatter', 202564488, 'impression', '8', 240946417L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.213229685172402, False, 'best']
['teresehatter', 202564488, 'impression', '15', 240946550L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.116869607899779, False, 'best']
['teresehatter', 202564488, 'impression', '6', 240952058L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.250711912671984, False, 'best']
['teresehatter', 202564488, 'impression', '2', 240946798L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.341844243799944, False, 'best']
['teresehatter', 202564488, 'impression', '16', 240946551L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.111292421776883, False, 'best']
['teresehatter', 202564488, 'impression', '11', 240951587L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.16873714706833, False, 'best']
['teresehatter', 202564488, 'impression', '20', 241010985L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.0839741653061444, False, 'best']
['teresehatter', 202564488, 'impression', '17', 240946773L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.100237313360937, False, 'best']
['teresehatter', 202564488, 'impression', '13', 240946691L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.1420819245681, False, 'best']
['teresehatter', 202564488, 'impression', '19', 240946458L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.0844395165853297, False, 'best']
['teresehatter', 202564488, 'impression', '9', 240946809L, datetime.datetime(2013, 5, 22, 13, 35, 39), 0.189210040569151, False, 'best']
