['garvin-nathaniel', 202594136, 'shortlist', '1', 241578436L, datetime.datetime(2013, 5, 29, 13, 1, 26), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '2', 241582098L, datetime.datetime(2013, 5, 29, 13, 1, 30), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'view_full_application', '2', 241582098L, datetime.datetime(2013, 5, 29, 13, 1, 33), 0.292195863487213, False, 'best']

['garvin-nathaniel', 202594136, 'impression', '4', 241586264L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'impression', '8', 241573662L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241585913L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.105725540162005, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241585142L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.236298926645938, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241582098L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573679L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '7', 241581794L, datetime.datetime(2013, 5, 29, 14, 57, 12), 0.0936740363982235, False, 'best']

['garvin-nathaniel', 202594136, 'impression', '3', 241585142L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.236298926645938, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'impression', '7', 241581794L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.0936740363982235, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241585913L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.105725540162005, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '8', 241573662L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573679L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241582098L, datetime.datetime(2013, 5, 29, 23, 27, 41), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 27, 56), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'view_full_application', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 28, 1), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241585142L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.236298926645938, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241585913L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.105725540162005, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '8', 241573662L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241573679L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241582098L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '7', 241581794L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.0936740363982235, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 32, 17), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 32, 25), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'view_full_application', '4', 241586264L, datetime.datetime(2013, 5, 29, 23, 32, 27), 0.133399098574454, True, 'best']
['garvin-nathaniel', 202594136, 'impression', '2', 241582098L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.292195863487213, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '5', 241573679L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.103571415141858, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '4', 241585913L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.105725540162005, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '7', 241573662L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.0719350969962555, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '6', 241581794L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.0936740363982235, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '3', 241585142L, datetime.datetime(2013, 5, 29, 23, 40, 6), 0.236298926645938, False, 'best']
['garvin-nathaniel', 202594136, 'expand_tile', '1', 241578436L, datetime.datetime(2013, 5, 29, 23, 40, 9), 0.336929224349291, False, 'best']
['garvin-nathaniel', 202594136, 'impression', '1', 241578436L, datetime.datetime(2013, 5, 29, 23, 40, 11), 0.336929224349291, False, 'best']

