['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 19, 18, 13), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 22, 19, 18, 13), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 19, 18, 13), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 19, 18, 13), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'expand_tile', '4', 240994637L, datetime.datetime(2013, 5, 22, 19, 18, 31), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 19, 19, 17), 0.0520060293887674, False, 'best']

['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 22, 20, 53, 31), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 20, 53, 31), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 22, 20, 53, 31), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 20, 53, 31), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 20, 53, 31), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '2', 240982654L, datetime.datetime(2013, 5, 22, 20, 53, 33), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 22, 20, 54, 16), 0.215266485774516, True, 'best']
['sbtb', 202565454, 'impression', '1', 240977090L, datetime.datetime(2013, 5, 22, 20, 54, 16), 0.519876858758974, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 22, 20, 54, 16), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 22, 20, 54, 16), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 22, 20, 54, 16), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'view_full_application_via_name', '1', 240977090L, datetime.datetime(2013, 5, 22, 20, 54, 17), 0.519876858758974, False, 'best']

['sbtb', 202565454, 'impression', '4', 240994637L, datetime.datetime(2013, 5, 23, 3, 30, 46), 0.0567930060881193, False, 'best']
['sbtb', 202565454, 'impression', '5', 240973309L, datetime.datetime(2013, 5, 23, 3, 30, 46), 0.0520060293887674, False, 'best']
['sbtb', 202565454, 'impression', '2', 240982654L, datetime.datetime(2013, 5, 23, 3, 30, 46), 0.322102609995077, False, 'best']
['sbtb', 202565454, 'impression', '3', 240982759L, datetime.datetime(2013, 5, 23, 3, 30, 46), 0.215266485774516, True, 'best']
