['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 24, 31), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438159L, datetime.datetime(2013, 5, 28, 0, 24, 33), 0.330963003071732, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 24, 36), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438677L, datetime.datetime(2013, 5, 28, 0, 24, 37), 0.290587830530605, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241438159L, datetime.datetime(2013, 5, 28, 0, 24, 51), 0.330963003071732, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '3', 241438159L, datetime.datetime(2013, 5, 28, 0, 24, 54), 0.330963003071732, False, 'time']
['beautigalleria', 202587869, 'impression', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'impression', '4', 241437791L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.514907106125261, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437788L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241437649L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.602104906577791, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 25, 45), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '3', 241438084L, datetime.datetime(2013, 5, 28, 0, 25, 54), 0.308301404783085, False, 'time']
['beautigalleria', 202587869, 'expand_tile', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 26), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'view_full_application', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 26, 4), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'impression', '6', 241437649L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.458736963834047, False, 'time']
['beautigalleria', 202587869, 'impression', '5', 241437788L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.438962003866315, False, 'time']
['beautigalleria', 202587869, 'impression', '1', 241438791L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.258409814568578, False, 'time']
['beautigalleria', 202587869, 'impression', '2', 241438295L, datetime.datetime(2013, 5, 28, 0, 27, 2), 0.602104906577791, False, 'time']
