['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 20, 46), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 20, 46), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 4, 23, 15), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 23, 15), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 4, 23, 15), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240979572L, datetime.datetime(2013, 5, 22, 4, 23, 15), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 4, 23, 15), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '3', 240978940L, datetime.datetime(2013, 5, 22, 4, 23, 26), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 25, 13), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 25, 19), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 32, 10), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 38, 25), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 38, 26), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 38, 29), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 40, 33), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 48, 55), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 49, 41), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978752L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240979125L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '4', 240978940L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.0359883983106448, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '6', 240978205L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 56, 2), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'view_full_application_via_name', '2', 240979572L, datetime.datetime(2013, 5, 22, 4, 56, 11), 0.0491756458954917, True, 'time']
['ksaekon', 202566584, 'impression', '4', 240978752L, datetime.datetime(2013, 5, 22, 5, 8, 55), 0.0262246870298477, False, 'time']
['ksaekon', 202566584, 'impression', '1', 240980144L, datetime.datetime(2013, 5, 22, 5, 8, 55), 0.0147383696559172, False, 'time']
['ksaekon', 202566584, 'impression', '5', 240978205L, datetime.datetime(2013, 5, 22, 5, 8, 55), 0.086234974356418, False, 'time']
['ksaekon', 202566584, 'impression', '2', 240979125L, datetime.datetime(2013, 5, 22, 5, 8, 55), 0.0799568895519861, False, 'time']
['ksaekon', 202566584, 'impression', '3', 240978940L, datetime.datetime(2013, 5, 22, 5, 8, 55), 0.0359883983106448, False, 'time']

