['ronaldscott1', 202586229, 'impression', '7', 241405035L, datetime.datetime(2013, 5, 27, 15, 8, 26), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '2', 241407138L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.314306442718252, False, 'time']
['ronaldscott1', 202586229, 'impression', '7', 241405197L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.207169997835564, False, 'time']
['ronaldscott1', 202586229, 'impression', '8', 241405035L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.230559689154909, False, 'time']
['ronaldscott1', 202586229, 'impression', '4', 241405704L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.204010878010415, False, 'time']
['ronaldscott1', 202586229, 'impression', '5', 241405499L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.172208972508843, False, 'time']
['ronaldscott1', 202586229, 'impression', '3', 241406964L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.0985089512849753, False, 'time']
['ronaldscott1', 202586229, 'impression', '6', 241405211L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.321569572190138, False, 'time']
['ronaldscott1', 202586229, 'impression', '1', 241408235L, datetime.datetime(2013, 5, 27, 15, 11, 21), 0.343383230748004, False, 'time']
['ronaldscott1', 202586229, 'expand_tile', '1', 241408235L, datetime.datetime(2013, 5, 27, 15, 11, 38), 0.343383230748004, False, 'time']
['ronaldscott1', 202586229, 'send_message', '1', 241408235L, datetime.datetime(2013, 5, 27, 15, 11, 39), 0.343383230748004, False, 'time']
['ronaldscott1', 202586229, 'expand_tile', '1', 241408235L, datetime.datetime(2013, 5, 27, 15, 11, 41), 0.343383230748004, False, 'time']

