['theuniz', 202594102, 'impression', '4', 241574300L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.147885378888037, False, 'time']
['theuniz', 202594102, 'impression', '8', 241573722L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.0774363892415371, False, 'time']
['theuniz', 202594102, 'impression', '15', 241573284L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.193971501057582, False, 'time']
['theuniz', 202594102, 'impression', '17', 241573236L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.127827872320613, False, 'time']
['theuniz', 202594102, 'impression', '1', 241574850L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.209269990897877, False, 'time']
['theuniz', 202594102, 'impression', '20', 241573164L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.122917411045501, False, 'time']
['theuniz', 202594102, 'impression', '12', 241573440L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.281326262404671, False, 'time']
['theuniz', 202594102, 'impression', '7', 241573763L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.133582034861025, False, 'time']
['theuniz', 202594102, 'impression', '10', 241573474L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.0744098401855862, False, 'time']
['theuniz', 202594102, 'impression', '16', 241573259L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.203911672796352, False, 'time']
['theuniz', 202594102, 'impression', '11', 241573466L, datetime.datetime(2013, 5, 29, 11, 19, 25), 0.215977629945515, False, 'time']
['theuniz', 202594102, 'view_full_application_via_name', '2', 241574787L, datetime.datetime(2013, 5, 29, 11, 19, 32), 0.211026407876195, True, 'time']

['theuniz', 202594102, 'impression', '10', 241574787L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.211026407876195, True, 'time']
['theuniz', 202594102, 'impression', '11', 241574659L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.575072563938068, False, 'time']
['theuniz', 202594102, 'impression', '1', 241576618L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.198758103424733, False, 'time']
['theuniz', 202594102, 'impression', '5', 241575598L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.383505444447501, False, 'time']
['theuniz', 202594102, 'impression', '4', 241575697L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.116811594217945, False, 'time']
['theuniz', 202594102, 'impression', '8', 241574956L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.1855012059707, False, 'time']
['theuniz', 202594102, 'impression', '2', 241576383L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.229556702278218, False, 'time']
['theuniz', 202594102, 'impression', '18', 241573474L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.0744098401855862, False, 'time']
['theuniz', 202594102, 'impression', '19', 241573466L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.215977629945515, False, 'time']
['theuniz', 202594102, 'impression', '17', 241573551L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.124521372956641, False, 'time']
['theuniz', 202594102, 'impression', '16', 241573722L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.0774363892415371, False, 'time']
['theuniz', 202594102, 'impression', '13', 241574087L, datetime.datetime(2013, 5, 29, 11, 51, 45), 0.111672891137828, False, 'time']
