['highwoodfox', 202558802, 'impression', '22', 240834270L, datetime.datetime(2013, 5, 21, 10, 43, 27), 0.0776418220422881, False, 'time']
['highwoodfox', 202558802, 'impression', '23', 240834115L, datetime.datetime(2013, 5, 21, 10, 43, 45), 0.114529442526502, False, 'time']
['highwoodfox', 202558802, 'shortlist', '24', 240833960L, datetime.datetime(2013, 5, 21, 10, 44, 3), 0.0656807999218764, False, 'time']
['highwoodfox', 202558802, 'impression', '25', 240833954L, datetime.datetime(2013, 5, 21, 10, 44, 19), 0.138632811623929, False, 'time']
['highwoodfox', 202558802, 'impression', '27', 240833816L, datetime.datetime(2013, 5, 21, 10, 44, 59), 0.0904102279262044, False, 'time']
['highwoodfox', 202558802, 'impression', '28', 240833737L, datetime.datetime(2013, 5, 21, 10, 45, 12), 0.211347038549231, False, 'time']
['highwoodfox', 202558802, 'shortlist', '5', 240858054L, datetime.datetime(2013, 5, 21, 10, 45, 34), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '3', 240868203L, datetime.datetime(2013, 5, 21, 10, 45, 47), 0.203089667212784, False, 'time']
['highwoodfox', 202558802, 'view_full_application_via_name', '26', 240833880L, datetime.datetime(2013, 5, 21, 10, 46, 17), 0.118819433987313, False, 'time']
['highwoodfox', 202558802, 'impression', '8', 240833960L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.0656807999218764, False, 'time']
['highwoodfox', 202558802, 'impression', '1', 240915168L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.0439484325915353, False, 'time']
['highwoodfox', 202558802, 'impression', '4', 240837489L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.159280112792431, False, 'time']
['highwoodfox', 202558802, 'impression', '3', 240852964L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.0389236374866747, False, 'time']
['highwoodfox', 202558802, 'impression', '9', 240833717L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.129617356437316, False, 'time']
['highwoodfox', 202558802, 'impression', '7', 240834495L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.0888862052531879, False, 'time']
['highwoodfox', 202558802, 'impression', '2', 240858054L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '10', 240833267L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.129733759619145, False, 'time']
['highwoodfox', 202558802, 'impression', '6', 240835871L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', '5', 240837154L, datetime.datetime(2013, 5, 21, 10, 47, 4), 0.110282302433355, False, 'time']
['highwoodfox', 202558802, 'impression', '9', 240833717L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.129617356437316, False, 'time']
['highwoodfox', 202558802, 'impression', '1', 240915168L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.0439484325915353, False, 'time']
['highwoodfox', 202558802, 'impression', '3', 240852964L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.0389236374866747, False, 'time']
['highwoodfox', 202558802, 'impression', '4', 240837489L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.159280112792431, False, 'time']
['highwoodfox', 202558802, 'impression', '2', 240858054L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.302561665736336, False, 'time']
['highwoodfox', 202558802, 'impression', '7', 240834495L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.0888862052531879, False, 'time']
['highwoodfox', 202558802, 'impression', '8', 240833960L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.0656807999218764, False, 'time']
['highwoodfox', 202558802, 'impression', '10', 240833267L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.129733759619145, False, 'time']
['highwoodfox', 202558802, 'impression', '6', 240835871L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.065478943320685, False, 'time']
['highwoodfox', 202558802, 'impression', '5', 240837154L, datetime.datetime(2013, 5, 21, 10, 50, 13), 0.110282302433355, False, 'time']
['highwoodfox', 202558802, 'shortlist', '1', 240915168L, datetime.datetime(2013, 5, 21, 10, 50, 16), 0.0439484325915353, False, 'time']

