['agrochal', 202537153, 'impression', '18', 240453582L, datetime.datetime(2013, 5, 15, 22, 19, 39), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '20', 240459817L, datetime.datetime(2013, 5, 15, 22, 19, 39), 0.421331893253728, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 19, 39), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '17', 240439265L, datetime.datetime(2013, 5, 15, 22, 19, 39), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '20', 240459817L, datetime.datetime(2013, 5, 15, 22, 20, 23), 0.421331893253728, False, 'best']
['agrochal', 202537153, 'impression', '18', 240453582L, datetime.datetime(2013, 5, 15, 22, 20, 54), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 20, 54), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '17', 240439265L, datetime.datetime(2013, 5, 15, 22, 20, 54), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '19', 240454977L, datetime.datetime(2013, 5, 15, 22, 20, 54), 0.190426480856707, False, 'best']
['agrochal', 202537153, 'impression', '16', 240439265L, datetime.datetime(2013, 5, 15, 22, 22, 36), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 22, 36), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '18', 240454977L, datetime.datetime(2013, 5, 15, 22, 22, 36), 0.190426480856707, False, 'best']
['agrochal', 202537153, 'impression', '17', 240453582L, datetime.datetime(2013, 5, 15, 22, 22, 36), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'hide', '18', 240454977L, datetime.datetime(2013, 5, 15, 22, 22, 43), 0.190426480856707, False, 'best']
['agrochal', 202537153, 'view_full_application_via_name', '16', 240439265L, datetime.datetime(2013, 5, 15, 22, 22, 48), 0.0783016660721187, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 23, 48), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '16', 240453582L, datetime.datetime(2013, 5, 15, 22, 23, 48), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 24, 59), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '16', 240453582L, datetime.datetime(2013, 5, 15, 22, 24, 59), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '15', 240453582L, datetime.datetime(2013, 5, 15, 22, 25, 39), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 25, 39), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 28, 30), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '15', 240453582L, datetime.datetime(2013, 5, 15, 22, 28, 30), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '14', 240453582L, datetime.datetime(2013, 5, 15, 22, 28, 50), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 28, 50), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 29, 20), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '13', 240453582L, datetime.datetime(2013, 5, 15, 22, 29, 20), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 30, 51), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '11', 240453582L, datetime.datetime(2013, 5, 15, 22, 30, 51), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '10', 240453582L, datetime.datetime(2013, 5, 15, 22, 31, 25), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 31, 25), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 15, 22, 32, 8), 0.501482641824415, False, 'best']
['agrochal', 202537153, 'impression', '9', 240453582L, datetime.datetime(2013, 5, 15, 22, 32, 8), 0.182307947080549, False, 'best']

['agrochal', 202537153, 'impression', '2', 240453582L, datetime.datetime(2013, 5, 16, 18, 57, 10), 0.182307947080549, False, 'best']
['agrochal', 202537153, 'impression', '1', 240401998L, datetime.datetime(2013, 5, 16, 18, 57, 10), 0.501482641824415, False, 'best']

