['shelovesboutique', 202592981, 'impression', '18', 241546606L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.116116577309728, False, 'time']
['shelovesboutique', 202592981, 'impression', '20', 241546170L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0218972699878681, False, 'time']
['shelovesboutique', 202592981, 'impression', '5', 241548351L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0143070152060257, False, 'time']
['shelovesboutique', 202592981, 'impression', '14', 241547297L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0265861290182325, False, 'time']
['shelovesboutique', 202592981, 'impression', '10', 241547799L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0134264483463458, False, 'time']
['shelovesboutique', 202592981, 'impression', '8', 241548068L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0082139688348908, False, 'time']
['shelovesboutique', 202592981, 'impression', '12', 241547670L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0203207629406825, False, 'time']
['shelovesboutique', 202592981, 'impression', '7', 241548116L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0144506388774502, False, 'time']
['shelovesboutique', 202592981, 'impression', '3', 241548525L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.012590291051657, False, 'time']
['shelovesboutique', 202592981, 'impression', '9', 241547881L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0249428693299934, False, 'time']
['shelovesboutique', 202592981, 'impression', '11', 241547671L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0131142172652056, False, 'time']
['shelovesboutique', 202592981, 'impression', '2', 241548938L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0395362337179647, False, 'time']
['shelovesboutique', 202592981, 'impression', '6', 241548137L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0248420756598889, False, 'time']
['shelovesboutique', 202592981, 'impression', '4', 241548520L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.026924057629982, False, 'time']
['shelovesboutique', 202592981, 'impression', '1', 241549372L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0621333191104064, False, 'time']
['shelovesboutique', 202592981, 'impression', '13', 241547384L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0216707216689328, False, 'time']
['shelovesboutique', 202592981, 'impression', '17', 241546751L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0520488028417951, False, 'time']
['shelovesboutique', 202592981, 'impression', '19', 241546300L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.016169802099627, False, 'time']
['shelovesboutique', 202592981, 'impression', '16', 241547187L, datetime.datetime(2013, 5, 29, 5, 19, 42), 0.0147590073501679, True, 'time']
['shelovesboutique', 202592981, 'expand_tile', '15', 241547285L, datetime.datetime(2013, 5, 29, 5, 19, 45), 0.0216958612489928, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '14', 241547297L, datetime.datetime(2013, 5, 29, 5, 19, 47), 0.0265861290182325, False, 'time']
['shelovesboutique', 202592981, 'send_message', '14', 241547297L, datetime.datetime(2013, 5, 29, 5, 19, 48), 0.0265861290182325, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '14', 241547297L, datetime.datetime(2013, 5, 29, 5, 19, 59), 0.0265861290182325, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '13', 241547384L, datetime.datetime(2013, 5, 29, 5, 20, 1), 0.0216707216689328, False, 'time']
['shelovesboutique', 202592981, 'send_message', '13', 241547384L, datetime.datetime(2013, 5, 29, 5, 20, 2), 0.0216707216689328, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '13', 241547384L, datetime.datetime(2013, 5, 29, 5, 20, 12), 0.0216707216689328, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '12', 241547670L, datetime.datetime(2013, 5, 29, 5, 20, 14), 0.0203207629406825, False, 'time']
['shelovesboutique', 202592981, 'send_message', '12', 241547670L, datetime.datetime(2013, 5, 29, 5, 20, 15), 0.0203207629406825, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '11', 241547671L, datetime.datetime(2013, 5, 29, 5, 20, 26), 0.0131142172652056, False, 'time']
['shelovesboutique', 202592981, 'send_message', '12', 241547670L, datetime.datetime(2013, 5, 29, 5, 20, 30), 0.0203207629406825, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '12', 241547670L, datetime.datetime(2013, 5, 29, 5, 21, 3), 0.0203207629406825, False, 'time']
['shelovesboutique', 202592981, 'expand_tile', '10', 241547799L, datetime.datetime(2013, 5, 29, 5, 21, 4), 0.0134264483463458, False, 'time']
