['jamesbeau', 202560645, 'impression', '3', 240867297L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.134066205892769, False, 'best']
['jamesbeau', 202560645, 'impression', '14', 240867962L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0711246168908146, False, 'best']
['jamesbeau', 202560645, 'impression', '17', 240866867L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0577368498331944, False, 'best']
['jamesbeau', 202560645, 'impression', '10', 240867923L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0758351364915558, False, 'best']
['jamesbeau', 202560645, 'impression', '1', 240866959L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.236794475459156, False, 'best']
['jamesbeau', 202560645, 'impression', '8', 240867859L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'impression', '4', 240869196L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.111425942595132, True, 'best']
['jamesbeau', 202560645, 'impression', '19', 240867124L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0496137981932153, False, 'best']
['jamesbeau', 202560645, 'impression', '16', 240867106L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0583194081278342, False, 'best']
['jamesbeau', 202560645, 'impression', '11', 240868901L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0745380826359322, True, 'best']
['jamesbeau', 202560645, 'impression', '9', 240867796L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0795150835304591, False, 'best']
['jamesbeau', 202560645, 'impression', '5', 240867809L, datetime.datetime(2013, 5, 21, 5, 12, 10), 0.0999596588979136, False, 'best']

['jamesbeau', 202560645, 'impression', '19', 240867124L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.0496137981932153, False, 'best']
['jamesbeau', 202560645, 'impression', '7', 240867859L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.082567982727739, False, 'best']
['jamesbeau', 202560645, 'impression', '3', 240869196L, datetime.datetime(2013, 5, 22, 1, 54, 14), 0.111425942595132, True, 'best']
