['jojobear', 202545555, 'impression', '2', 240545698L, datetime.datetime(2013, 5, 17, 2, 6, 49), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545299L, datetime.datetime(2013, 5, 17, 2, 6, 49), 0.297834237393332, False, 'best']
['jojobear', 202545555, 'impression', '4', 240551369L, datetime.datetime(2013, 5, 17, 2, 6, 49), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '3', 240546643L, datetime.datetime(2013, 5, 17, 2, 6, 49), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545299L, datetime.datetime(2013, 5, 17, 2, 7, 3), 0.297834237393332, False, 'best']
['jojobear', 202545555, 'impression', '2', 240545698L, datetime.datetime(2013, 5, 17, 2, 7, 6), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'view_full_application_via_name', '2', 240545698L, datetime.datetime(2013, 5, 17, 2, 7, 11), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545698L, datetime.datetime(2013, 5, 17, 2, 7, 32), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'impression', '4', 240551424L, datetime.datetime(2013, 5, 17, 2, 7, 32), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'impression', '2', 240546643L, datetime.datetime(2013, 5, 17, 2, 7, 32), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '3', 240551369L, datetime.datetime(2013, 5, 17, 2, 7, 32), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '2', 240546643L, datetime.datetime(2013, 5, 17, 2, 7, 33), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '1', 240545698L, datetime.datetime(2013, 5, 17, 2, 7, 33), 0.203913019415322, False, 'best']
['jojobear', 202545555, 'impression', '2', 240546643L, datetime.datetime(2013, 5, 17, 2, 7, 37), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'impression', '2', 240546643L, datetime.datetime(2013, 5, 17, 2, 7, 39), 0.185095697046623, False, 'best']
['jojobear', 202545555, 'expand_tile', '3', 240551369L, datetime.datetime(2013, 5, 17, 2, 7, 44), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '1', 240551369L, datetime.datetime(2013, 5, 17, 2, 7, 58), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'impression', '2', 240551424L, datetime.datetime(2013, 5, 17, 2, 7, 58), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'expand_tile', '2', 240551424L, datetime.datetime(2013, 5, 17, 2, 8), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'collapse_tile', '2', 240551424L, datetime.datetime(2013, 5, 17, 2, 8, 11), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'impression', '2', 240551424L, datetime.datetime(2013, 5, 17, 2, 8, 12), 0.0279067687176522, False, 'best']
['jojobear', 202545555, 'expand_tile', '1', 240551369L, datetime.datetime(2013, 5, 17, 2, 8, 17), 0.335926111596476, True, 'best']
['jojobear', 202545555, 'hire', '1', 240551369L, datetime.datetime(2013, 5, 17, 2, 8, 33), 0.335926111596476, True, 'best']

