['rodgwag', 202570762, 'impression', '15', 241063521L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0759059239554706, False, 'time']
['rodgwag', 202570762, 'impression', '9', 241069018L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0376624264001963, False, 'time']
['rodgwag', 202570762, 'impression', '5', 241093805L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0602114892183061, False, 'time']
['rodgwag', 202570762, 'impression', '11', 241067181L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.141210281440683, False, 'time']
['rodgwag', 202570762, 'impression', '19', 241059616L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.450929106911519, False, 'time']
['rodgwag', 202570762, 'impression', '2', 241103236L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0581288034997737, False, 'time']
['rodgwag', 202570762, 'impression', '1', 241110955L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0584881299351072, False, 'time']
['rodgwag', 202570762, 'impression', '7', 241089904L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.230242617827074, False, 'time']
['rodgwag', 202570762, 'impression', '8', 241072288L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.202335072048182, False, 'time']
['rodgwag', 202570762, 'impression', '3', 241098553L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.140313437776416, False, 'time']
['rodgwag', 202570762, 'impression', '12', 241065319L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0723928630414234, False, 'time']
['rodgwag', 202570762, 'impression', '18', 241061394L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.129826758640576, False, 'time']
['rodgwag', 202570762, 'impression', '13', 241064705L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.0127839796960423, False, 'time']
['rodgwag', 202570762, 'impression', '16', 241062062L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.236640031145895, False, 'time']
['rodgwag', 202570762, 'impression', '4', 241096710L, datetime.datetime(2013, 5, 24, 17, 10, 55), 0.065445034655897, False, 'time']

