['jonathonknight', 202575921, 'impression', '17', 241160506L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0524898310128797, False, 'time']
['jonathonknight', 202575921, 'impression', '4', 241162361L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0166946325530705, False, 'time']
['jonathonknight', 202575921, 'impression', '19', 241160454L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0745206797153205, False, 'time']
['jonathonknight', 202575921, 'impression', '10', 241161520L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0200783959605466, False, 'time']
['jonathonknight', 202575921, 'impression', '11', 241161459L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0711351103464882, False, 'time']
['jonathonknight', 202575921, 'impression', '1', 241163254L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0472271088501971, False, 'time']
['jonathonknight', 202575921, 'impression', '3', 241162420L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0409153964034754, False, 'time']
['jonathonknight', 202575921, 'impression', '20', 241160410L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0364892161830019, False, 'time']
['jonathonknight', 202575921, 'impression', '6', 241162250L, datetime.datetime(2013, 5, 24, 5, 1, 2), 0.0318376533004525, False, 'time']
['jonathonknight', 202575921, 'view_full_application_via_name', '9', 241161669L, datetime.datetime(2013, 5, 24, 5, 1, 27), 0.0230726823128541, False, 'time']
['jonathonknight', 202575921, 'impression', '8', 241161862L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0345764831027587, False, 'time']
['jonathonknight', 202575921, 'impression', '2', 241162667L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0525984731247759, False, 'time']
['jonathonknight', 202575921, 'impression', '15', 241161061L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0165199642135252, False, 'time']
['jonathonknight', 202575921, 'impression', '14', 241161101L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0373397549921203, False, 'time']
['jonathonknight', 202575921, 'impression', '3', 241162420L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0409153964034754, False, 'time']
['jonathonknight', 202575921, 'impression', '17', 241160506L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0524898310128797, False, 'time']
['jonathonknight', 202575921, 'impression', '16', 241160992L, datetime.datetime(2013, 5, 24, 5, 2, 10), 0.0412957171901394, False, 'time']
