['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 24, 3, 57, 36), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 24, 3, 57, 38), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 24, 4, 2, 6), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'expand_tile', '5', 241060110L, datetime.datetime(2013, 5, 24, 4, 2, 8), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application', '5', 241060110L, datetime.datetime(2013, 5, 24, 4, 2, 11), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '8', 241045820L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '9', 241045804L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.284407588937882, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '6', 241049385L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241100994L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '7', 241046765L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'impression', '10', 241044404L, datetime.datetime(2013, 5, 24, 4, 2, 29), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241060110L, datetime.datetime(2013, 5, 24, 4, 2, 31), 0.321746620465459, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '2', 241098972L, datetime.datetime(2013, 5, 24, 4, 2, 37), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '3', 241088021L, datetime.datetime(2013, 5, 24, 4, 2, 39), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '4', 241075995L, datetime.datetime(2013, 5, 24, 4, 2, 40), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241098972L, datetime.datetime(2013, 5, 24, 4, 3, 13), 0.106060742844848, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241088021L, datetime.datetime(2013, 5, 24, 4, 3, 14), 0.142109623261979, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 24, 4, 3, 16), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241075995L, datetime.datetime(2013, 5, 24, 4, 3, 23), 0.369306558330537, False, 'time']
['mirzashahnaz', 202569677, 'impression', '6', 241049385L, datetime.datetime(2013, 5, 24, 4, 3, 26), 0.0363930071541449, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241100994L, datetime.datetime(2013, 5, 24, 4, 3, 36), 0.686611856941938, False, 'time']

['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 24, 14, 17, 43), 0.294099610497063, False, 'time']

['mirzashahnaz', 202569677, 'impression', '2', 241046765L, datetime.datetime(2013, 5, 24, 18, 58, 18), 0.294099610497063, False, 'time']

['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 28, 12, 33, 56), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 28, 12, 33, 56), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 28, 12, 33, 56), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 28, 12, 33, 56), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 28, 12, 33, 56), 0.331959815510552, False, 'time']

