['threebyone', 202561298, 'impression', '4', 240886034L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.547967065401932, False, 'time']
['threebyone', 202561298, 'impression', '6', 240883278L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.323403718017378, False, 'time']
['threebyone', 202561298, 'impression', '9', 240880421L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.148839065935834, True, 'time']
['threebyone', 202561298, 'impression', '3', 240891438L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.116842793962946, False, 'time']
['threebyone', 202561298, 'impression', '8', 240881292L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '1', 240902055L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.119108310241582, False, 'time']
['threebyone', 202561298, 'impression', '10', 240880213L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '13', 240875729L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.177802615253949, False, 'time']
['threebyone', 202561298, 'impression', '7', 240882110L, datetime.datetime(2013, 5, 21, 8, 17, 7), 0.278300094886172, False, 'time']
['threebyone', 202561298, 'view_full_application_via_name', '11', 240878262L, datetime.datetime(2013, 5, 21, 8, 20, 36), 0.106180592459254, False, 'time']

['threebyone', 202561298, 'impression', '1', 240938893L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.20621582814619, False, 'time']
['threebyone', 202561298, 'impression', '14', 240880213L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.100879344517804, False, 'time']
['threebyone', 202561298, 'impression', '6', 240910076L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.072258941729035, False, 'time']
['threebyone', 202561298, 'impression', '7', 240902055L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.119108310241582, False, 'time']
['threebyone', 202561298, 'impression', '13', 240881292L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.047012149779909, False, 'time']
['threebyone', 202561298, 'impression', '17', 240875729L, datetime.datetime(2013, 5, 21, 23, 4, 10), 0.177802615253949, False, 'time']
