['sratrade', 202588338, 'impression', '1', 241448670L, datetime.datetime(2013, 5, 28, 21, 24, 51), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'impression', None, 241448670L, datetime.datetime(2013, 5, 28, 21, 24, 51), 0.362447260345726, False, 'best']
['sratrade', 202588338, 'expand_tile', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 54), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 54), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 54), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'shortlist', '4', 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 54), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'impression', None, 241490996L, datetime.datetime(2013, 5, 28, 21, 24, 54), 0.17130308358147, False, 'best']
['sratrade', 202588338, 'expand_tile', '6', 241510269L, datetime.datetime(2013, 5, 28, 21, 25), 0.166233701351052, True, 'best']
['sratrade', 202588338, 'expand_tile', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 25, 22), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'shortlist', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 25, 23), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'expand_tile', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 25, 23), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'impression', None, 241455008L, datetime.datetime(2013, 5, 28, 21, 25, 24), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'impression', '10', 241455008L, datetime.datetime(2013, 5, 28, 21, 25, 24), 0.113259817877351, False, 'best']
['sratrade', 202588338, 'impression', '12', 241449971L, datetime.datetime(2013, 5, 28, 21, 25, 26), 0.106569044682377, False, 'best']
['sratrade', 202588338, 'expand_tile', '11', 241454725L, datetime.datetime(2013, 5, 28, 21, 25, 27), 0.112120228831876, False, 'best']
['sratrade', 202588338, 'impression', '20', 241484232L, datetime.datetime(2013, 5, 28, 21, 25, 37), 0.0715408027103759, False, 'best']
['sratrade', 202588338, 'expand_tile', '20', 241484232L, datetime.datetime(2013, 5, 28, 21, 25, 38), 0.0715408027103759, False, 'best']
['sratrade', 202588338, 'shortlist', '20', 241484232L, datetime.datetime(2013, 5, 28, 21, 25, 38), 0.0715408027103759, False, 'best']
['sratrade', 202588338, 'impression', '5', 241448303L, datetime.datetime(2013, 5, 28, 21, 26, 21), 0.17021384131334, False, 'best']
['sratrade', 202588338, 'impression', '12', 241449971L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.106569044682377, False, 'best']
['sratrade', 202588338, 'impression', '8', 241448512L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.127126616172665, False, 'best']
['sratrade', 202588338, 'impression', '19', 241448333L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.079770765813902, False, 'best']
['sratrade', 202588338, 'impression', '16', 241477213L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0874990745487518, False, 'best']
['sratrade', 202588338, 'impression', '2', 241448565L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.232328726723985, False, 'best']
['sratrade', 202588338, 'impression', '11', 241454725L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.112120228831876, False, 'best']
['sratrade', 202588338, 'impression', '20', 241484232L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.0715408027103759, False, 'best']
['sratrade', 202588338, 'impression', '13', 241448924L, datetime.datetime(2013, 5, 28, 21, 27, 34), 0.101835823542723, False, 'best']
