['pierrewilly', 202573607, 'impression', '6', 241127494L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.108050163449255, False, 'best']
['pierrewilly', 202573607, 'impression', '13', 241136132L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.0235680862507331, False, 'best']
['pierrewilly', 202573607, 'impression', '7', 241121196L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.104309361502419, False, 'best']
['pierrewilly', 202573607, 'impression', '11', 241127832L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.034402719998174, False, 'best']
['pierrewilly', 202573607, 'impression', '12', 241127703L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.0314716821046468, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.12035260499171, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 15, 34, 27), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '10', 241127014L, datetime.datetime(2013, 5, 24, 15, 34, 39), 0.0469555780137734, True, 'best']
['pierrewilly', 202573607, 'impression', '2', 241124549L, datetime.datetime(2013, 5, 24, 15, 36, 37), 0.176578639053607, False, 'best']
['pierrewilly', 202573607, 'impression', '5', 241124284L, datetime.datetime(2013, 5, 24, 15, 36, 37), 0.112224630696818, False, 'best']
['pierrewilly', 202573607, 'impression', '1', 241123272L, datetime.datetime(2013, 5, 24, 15, 36, 37), 0.223432839851536, False, 'best']
['pierrewilly', 202573607, 'impression', '3', 241123054L, datetime.datetime(2013, 5, 24, 15, 36, 37), 0.12035260499171, False, 'best']
