['nr4life74', 202555650, 'impression', '4', 240762740L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.162148971665702, False, 'time']
['nr4life74', 202555650, 'impression', '9', 240762287L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.120076117754394, False, 'time']
['nr4life74', 202555650, 'impression', '16', 240761283L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0115203608617399, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240762753L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.116946474682811, False, 'time']
['nr4life74', 202555650, 'impression', '13', 240762215L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.123259695513145, False, 'time']
['nr4life74', 202555650, 'impression', '6', 240762351L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.12714398280585, False, 'time']
['nr4life74', 202555650, 'impression', '5', 240762678L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.297730834358009, False, 'time']
['nr4life74', 202555650, 'impression', '8', 240762332L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0837364652875054, False, 'time']
['nr4life74', 202555650, 'impression', '14', 240762208L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.182817060150597, False, 'time']
['nr4life74', 202555650, 'impression', '12', 240762224L, datetime.datetime(2013, 5, 19, 15, 9, 3), 0.0386191591723134, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240762753L, datetime.datetime(2013, 5, 19, 15, 9, 41), 0.116946474682811, False, 'time']
['nr4life74', 202555650, 'impression', '19', 240762208L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.182817060150597, False, 'time']
['nr4life74', 202555650, 'impression', '17', 240762224L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.0386191591723134, False, 'time']
['nr4life74', 202555650, 'impression', '5', 240763393L, datetime.datetime(2013, 5, 19, 15, 10, 1), 0.177813835297544, False, 'time']
