['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 20, 1, 36), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 20, 1, 36), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240862541L, datetime.datetime(2013, 5, 20, 20, 1, 36), 0.0298626162288913, False, 'best']

['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 20, 38, 48), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 20, 38, 48), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 20, 38, 48), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 20, 38, 48), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'view_full_application_via_message', '1', 240855912L, datetime.datetime(2013, 5, 20, 20, 38, 55), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 20, 44, 30), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 20, 44, 30), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 20, 44, 30), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 20, 44, 30), 0.160180771670813, False, 'best']

['headhunterm', 202559973, 'impression', '3', 240865471L, datetime.datetime(2013, 5, 20, 21, 18, 27), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240855912L, datetime.datetime(2013, 5, 20, 21, 18, 27), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240862541L, datetime.datetime(2013, 5, 20, 21, 18, 27), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240857834L, datetime.datetime(2013, 5, 20, 21, 18, 27), 0.160180771670813, False, 'best']
