['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 18, 3, 38, 24), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '2', 240388041L, datetime.datetime(2013, 5, 18, 3, 38, 24), 0.274110081951272, False, 'time']
['fitz-santos', 202537534, 'impression', '5', 240385609L, datetime.datetime(2013, 5, 18, 3, 38, 24), 0.109918857147495, False, 'time']

['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 27, 1, 47, 51), 0.141933869029473, False, 'time']
['fitz-santos', 202537534, 'impression', '3', 240385609L, datetime.datetime(2013, 5, 27, 1, 47, 51), 0.109918857147495, False, 'time']

['fitz-santos', 202537534, 'impression', '3', 240385609L, datetime.datetime(2013, 5, 27, 3, 34, 23), 0.109918857147495, False, 'time']
['fitz-santos', 202537534, 'impression', '1', 240389649L, datetime.datetime(2013, 5, 27, 3, 34, 23), 0.141933869029473, False, 'time']

