['kstutes', 202585594, 'impression', '1', 241398164L, datetime.datetime(2013, 5, 27, 13, 37, 36), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '5', 241399884L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '3', 241400742L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '7', 241391602L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '4', 241401397L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '1', 241398164L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '8', 241396297L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.029232698867538, False, 'best']
['kstutes', 202585594, 'impression', '2', 241396714L, datetime.datetime(2013, 5, 27, 14, 6, 42), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '8', 241396297L, datetime.datetime(2013, 5, 27, 14, 6, 54), 0.029232698867538, False, 'best']
['kstutes', 202585594, 'expand_tile', '7', 241391602L, datetime.datetime(2013, 5, 27, 14, 7, 23), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'view_full_application_via_message', '7', 241391602L, datetime.datetime(2013, 5, 27, 14, 8), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '1', 241398164L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '3', 241400742L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '4', 241401397L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '7', 241391602L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '5', 241399884L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '2', 241396714L, datetime.datetime(2013, 5, 27, 14, 8, 19), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '6', 241395567L, datetime.datetime(2013, 5, 27, 14, 8, 33), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'expand_tile', '4', 241401397L, datetime.datetime(2013, 5, 27, 14, 9, 16), 0.0901551839664103, False, 'best']

['kstutes', 202585594, 'impression', '5', 241408197L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0927966013852194, False, 'best']
['kstutes', 202585594, 'impression', '8', 241406000L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.078894201164695, False, 'best']
['kstutes', 202585594, 'impression', '1', 241404493L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.184069582968773, False, 'best']
['kstutes', 202585594, 'impression', '3', 241396714L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '2', 241398164L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '11', 241391602L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '6', 241401397L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '4', 241400742L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '10', 241395567L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '9', 241406265L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0656173805156946, False, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 15, 58, 32), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'expand_tile', '1', 241404493L, datetime.datetime(2013, 5, 27, 15, 58, 52), 0.184069582968773, False, 'best']
['kstutes', 202585594, 'impression', '10', 241395567L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '1', 241404493L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.184069582968773, False, 'best']
['kstutes', 202585594, 'impression', '3', 241396714L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '9', 241406265L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0656173805156946, False, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '6', 241401397L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '4', 241400742L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '11', 241391602L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '2', 241398164L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '5', 241408197L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.0927966013852194, False, 'best']
['kstutes', 202585594, 'impression', '8', 241406000L, datetime.datetime(2013, 5, 27, 16, 1, 11), 0.078894201164695, False, 'best']
['kstutes', 202585594, 'impression', '11', 241391602L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '6', 241401397L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '2', 241398164L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '4', 241400742L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '3', 241396714L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '1', 241404493L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.184069582968773, False, 'best']
['kstutes', 202585594, 'impression', '9', 241406265L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0656173805156946, False, 'best']
['kstutes', 202585594, 'impression', '8', 241406000L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.078894201164695, False, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '10', 241395567L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '5', 241408197L, datetime.datetime(2013, 5, 27, 16, 3, 43), 0.0927966013852194, False, 'best']
['kstutes', 202585594, 'impression', '6', 241401397L, datetime.datetime(2013, 5, 27, 16, 3, 57), 0.0901551839664103, False, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 16, 4), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '8', 241406000L, datetime.datetime(2013, 5, 27, 16, 4, 3), 0.078894201164695, False, 'best']
['kstutes', 202585594, 'impression', '9', 241406265L, datetime.datetime(2013, 5, 27, 16, 4, 5), 0.0656173805156946, False, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 16, 4, 7), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '10', 241395567L, datetime.datetime(2013, 5, 27, 16, 4, 10), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 16, 4, 11), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'expand_tile', '11', 241391602L, datetime.datetime(2013, 5, 27, 16, 4, 41), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'collapse_tile', '11', 241391602L, datetime.datetime(2013, 5, 27, 16, 5, 32), 0.0456064386684623, False, 'best']

['kstutes', 202585594, 'impression', '9', 241395567L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '7', 241412269L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0800170643595893, False, 'best']
['kstutes', 202585594, 'impression', '5', 241408197L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0927966013852194, False, 'best']
['kstutes', 202585594, 'impression', '3', 241396714L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.105367806873108, False, 'best']
['kstutes', 202585594, 'impression', '1', 241404493L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.184069582968773, False, 'best']
['kstutes', 202585594, 'impression', '4', 241400742L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '10', 241391602L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '2', 241398164L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '6', 241399884L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '8', 241412257L, datetime.datetime(2013, 5, 27, 16, 39, 19), 0.0780357060034374, False, 'best']

['kstutes', 202585594, 'impression', '6', 241408197L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.0927966013852194, False, 'best']
['kstutes', 202585594, 'impression', '8', 241412269L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.0800170643595893, False, 'best']
['kstutes', 202585594, 'impression', '5', 241400742L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.101128914349987, False, 'best']
['kstutes', 202585594, 'impression', '11', 241391602L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.0456064386684623, False, 'best']
['kstutes', 202585594, 'impression', '3', 241398164L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.12091734620833, False, 'best']
['kstutes', 202585594, 'impression', '10', 241395567L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.0508307738260754, True, 'best']
['kstutes', 202585594, 'impression', '7', 241399884L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.0899595534524469, False, 'best']
['kstutes', 202585594, 'impression', '1', 241404493L, datetime.datetime(2013, 5, 27, 21, 40, 29), 0.184069582968773, False, 'best']
