['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 2, 25, 52), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 2, 25, 52), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240824424L, datetime.datetime(2013, 5, 21, 2, 25, 55), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 2, 26, 57), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 2, 26, 57), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 2, 26, 57), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 2, 26, 57), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240824424L, datetime.datetime(2013, 5, 21, 2, 44, 18), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240805584L, datetime.datetime(2013, 5, 21, 2, 44, 18), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240797059L, datetime.datetime(2013, 5, 21, 2, 44, 18), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240801655L, datetime.datetime(2013, 5, 21, 2, 44, 18), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_name', '2', 240824424L, datetime.datetime(2013, 5, 21, 2, 44, 22), 0.0944109001048404, False, 'best']

['intervisiontv', 202557453, 'impression', '5', 240797059L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.086594038090499, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240887375L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.589897679057041, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240801655L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240824424L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240887395L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240805584L, datetime.datetime(2013, 5, 21, 5, 15, 41), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'view_full_application_via_message', '2', 240887395L, datetime.datetime(2013, 5, 21, 5, 16, 42), 0.362077361844407, False, 'best']
