['jennifer_smiley', 202573740, 'impression', '2', 241124631L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '13', 241126703L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.028464191804961, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241124844L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241123949L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.06192318047896, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241126820L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0720141057554287, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241126386L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.103537905301567, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241124748L, datetime.datetime(2013, 5, 23, 17, 45, 49), 0.0868648325343593, False, 'best']

['jennifer_smiley', 202573740, 'impression', '12', 241217021L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0434997103565396, False, 'best']
['jennifer_smiley', 202573740, 'impression', '8', 241125646L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0865456641014814, False, 'best']
['jennifer_smiley', 202573740, 'impression', '4', 241125128L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.10921900911199, False, 'best']
['jennifer_smiley', 202573740, 'impression', '14', 241130709L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0211921515219435, False, 'best']
['jennifer_smiley', 202573740, 'impression', '3', 241124631L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.132815014234838, False, 'best']
['jennifer_smiley', 202573740, 'impression', '5', 241167960L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.103835883720126, False, 'best']
['jennifer_smiley', 202573740, 'impression', '6', 241137733L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0894012557279541, False, 'best']
['jennifer_smiley', 202573740, 'impression', '15', 241125439L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0169114947707391, False, 'best']
['jennifer_smiley', 202573740, 'impression', '9', 241124430L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0722135217038762, False, 'best']
['jennifer_smiley', 202573740, 'impression', '7', 241124748L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0868648325343593, False, 'best']
['jennifer_smiley', 202573740, 'impression', '2', 241124844L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.156581115754182, False, 'best']
['jennifer_smiley', 202573740, 'impression', '11', 241131350L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0545570077487225, False, 'best']
['jennifer_smiley', 202573740, 'impression', '13', 241129422L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.031312836273401, False, 'best']
['jennifer_smiley', 202573740, 'impression', '1', 241133935L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.191259874052528, False, 'best']
['jennifer_smiley', 202573740, 'impression', '10', 241123380L, datetime.datetime(2013, 5, 25, 0, 46, 23), 0.0640696743485201, False, 'best']

