['janeyjosh', 202545090, 'expand_tile', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 36, 57), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 37, 3), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 40, 23), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'send_message', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 40, 28), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 40, 46), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 41, 26), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'view_full_application', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 41, 41), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240537500L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240537863L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 45, 57), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'view_full_application_via_message', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 46, 4), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240537500L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240537863L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 49, 45), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'view_full_application_via_message', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 50, 13), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240537500L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536095L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240536703L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536309L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240536706L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240535315L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0982783705016057, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240536578L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.348313515144908, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240537863L, datetime.datetime(2013, 5, 16, 11, 51, 12), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'view_full_application_via_message', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 51, 16), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240535685L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.26359775482511, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240537500L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 16, 11, 58, 29), 0.0684218062721129, False, 'best']
