['shivam510', 202562536, 'impression', '2', 240903559L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.110792048701244, False, 'best']
['shivam510', 202562536, 'impression', '20', 240903547L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0254272664419214, False, 'best']
['shivam510', 202562536, 'impression', '3', 240925711L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.065181333159829, False, 'best']
['shivam510', 202562536, 'impression', '8', 240922696L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0390304267699574, False, 'best']
['shivam510', 202562536, 'impression', '9', 240913042L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.038084230509855, False, 'best']
['shivam510', 202562536, 'impression', '7', 240922326L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0448013089283721, False, 'best']
['shivam510', 202562536, 'impression', '10', 240919660L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0375881106805133, False, 'best']
['shivam510', 202562536, 'impression', '15', 240907299L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.030028139889691, False, 'best']
['shivam510', 202562536, 'impression', '4', 240917251L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0574879122540899, False, 'best']
['shivam510', 202562536, 'impression', '17', 240904682L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0262409616244011, False, 'best']
['shivam510', 202562536, 'impression', '1', 240913429L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.132261011131642, False, 'best']
['shivam510', 202562536, 'impression', '16', 240907498L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0274956012491092, False, 'best']
['shivam510', 202562536, 'impression', '18', 240904608L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0262360631100566, False, 'best']
['shivam510', 202562536, 'impression', '5', 240905415L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0523870130823488, False, 'best']
['shivam510', 202562536, 'impression', '12', 240906457L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0368073414149307, False, 'best']
['shivam510', 202562536, 'impression', '11', 240906622L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0368443931855794, False, 'best']
['shivam510', 202562536, 'impression', '6', 240923650L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0517117146366144, False, 'best']
['shivam510', 202562536, 'impression', '13', 240904935L, datetime.datetime(2013, 5, 21, 12, 52, 7), 0.0366648389870237, False, 'best']

