['tapdance', 202553000, 'view_full_application', '1', 240711612L, datetime.datetime(2013, 5, 18, 15, 51, 31), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '1', 240711612L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '7', 240702009L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '5', 240703353L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '8', 240701811L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '6', 240702947L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '2', 240710583L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '4', 240704538L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '3', 240704586L, datetime.datetime(2013, 5, 18, 15, 52, 14), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'view_full_application_via_name', '2', 240710583L, datetime.datetime(2013, 5, 18, 15, 52, 28), 0.0349111701498908, False, 'time']

['tapdance', 202553000, 'impression', '8', 240702009L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '1', 240715392L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '9', 240701811L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.00500768807423113, False, 'time']
['tapdance', 202553000, 'impression', '6', 240703353L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '7', 240702947L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '5', 240704538L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '4', 240704586L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '3', 240710583L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '2', 240711612L, datetime.datetime(2013, 5, 18, 17, 10, 29), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'expand_tile', '1', 240715392L, datetime.datetime(2013, 5, 18, 17, 10, 42), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'view_full_application', '1', 240715392L, datetime.datetime(2013, 5, 18, 17, 10, 53), 0.0752068579403339, False, 'time']

['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 8, 14, 33), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'expand_tile', '1', 240742151L, datetime.datetime(2013, 5, 19, 8, 14, 47), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 8, 16, 15), 0.03632160115783, False, 'time']

['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 9, 3, 41), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'expand_tile', '3', 240733698L, datetime.datetime(2013, 5, 19, 9, 3, 42), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'view_full_application', '3', 240733698L, datetime.datetime(2013, 5, 19, 9, 4, 18), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 6, 52), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 7, 9), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'expand_tile', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 7, 11), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'collapse_tile', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 7, 22), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'expand_tile', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 7, 24), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'view_full_application', '11', 240702947L, datetime.datetime(2013, 5, 19, 9, 7, 32), 0.0560896560115339, False, 'time']

['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 10, 12, 37), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 10, 16, 30), 0.0349111701498908, False, 'time']
