['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 52, 4), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '5', 241436549L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.0495945945327705, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 27, 23, 54, 27), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'hide', '6', 241436587L, datetime.datetime(2013, 5, 27, 23, 54, 45), 0.0389145511604398, False, 'best']
['inkyd', 202587769, 'shortlist', '3', 241436217L, datetime.datetime(2013, 5, 27, 23, 54, 53), 0.0733854241471573, False, 'best']
['inkyd', 202587769, 'impression', '1', 241436531L, datetime.datetime(2013, 5, 28, 0, 8, 57), 0.108730504235418, False, 'best']
['inkyd', 202587769, 'impression', '2', 241436539L, datetime.datetime(2013, 5, 28, 0, 8, 57), 0.0782781519974393, False, 'best']
['inkyd', 202587769, 'impression', '4', 241436508L, datetime.datetime(2013, 5, 28, 0, 8, 57), 0.0649307157428897, False, 'best']
['inkyd', 202587769, 'impression', '3', 241436217L, datetime.datetime(2013, 5, 28, 0, 8, 57), 0.0733854241471573, False, 'best']
