['michaelkeith2377', 202555954, 'impression', '4', 240771305L, datetime.datetime(2013, 5, 19, 22, 58, 19), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769869L, datetime.datetime(2013, 5, 19, 22, 58, 19), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '10', 240769714L, datetime.datetime(2013, 5, 19, 22, 58, 19), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '2', 240774973L, datetime.datetime(2013, 5, 19, 22, 58, 23), 0.144276818271762, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '2', 240774973L, datetime.datetime(2013, 5, 19, 22, 58, 50), 0.144276818271762, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240771305L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'impression', '10', 240769714L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769869L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240774973L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.144276818271762, False, 'time']
['michaelkeith2377', 202555954, 'impression', '13', 240769084L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '11', 240769529L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240770066L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769895L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '12', 240769259L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240770127L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240779428L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.0684446961235437, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240770465L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240771397L, datetime.datetime(2013, 5, 19, 23, 0, 54), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '12', 240769259L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240770127L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.185085961031889, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240771397L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240770465L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '10', 240769714L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.0866418640371846, False, 'time']
['michaelkeith2377', 202555954, 'impression', '9', 240769869L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.266665067266068, False, 'time']
['michaelkeith2377', 202555954, 'impression', '13', 240769084L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240774973L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.144276818271762, False, 'time']
['michaelkeith2377', 202555954, 'impression', '8', 240769895L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.173864487041743, False, 'time']
['michaelkeith2377', 202555954, 'impression', '11', 240769529L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.133746963764407, False, 'time']
['michaelkeith2377', 202555954, 'impression', '7', 240770066L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.070422384189465, False, 'time']
['michaelkeith2377', 202555954, 'impression', '4', 240771305L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.148420573645807, False, 'time']
['michaelkeith2377', 202555954, 'impression', '1', 240779428L, datetime.datetime(2013, 5, 19, 23, 3, 18), 0.0684446961235437, False, 'time']
['michaelkeith2377', 202555954, 'expand_tile', '1', 240779428L, datetime.datetime(2013, 5, 19, 23, 3, 25), 0.0684446961235437, False, 'time']
['michaelkeith2377', 202555954, 'view_full_application', '1', 240779428L, datetime.datetime(2013, 5, 19, 23, 3, 49), 0.0684446961235437, False, 'time']
['michaelkeith2377', 202555954, 'impression', '13', 240769084L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.127252441223323, False, 'time']
['michaelkeith2377', 202555954, 'impression', '2', 240774973L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.144276818271762, False, 'time']
['michaelkeith2377', 202555954, 'impression', '3', 240771397L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.113976874551145, False, 'time']
['michaelkeith2377', 202555954, 'impression', '5', 240770465L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.125682648260064, False, 'time']
['michaelkeith2377', 202555954, 'impression', '12', 240769259L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.068922172943741, False, 'time']
['michaelkeith2377', 202555954, 'impression', '6', 240770127L, datetime.datetime(2013, 5, 19, 23, 4, 40), 0.185085961031889, False, 'time']
