['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 15, 2, 51), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'expand_tile', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 2, 55), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'send_message', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 2, 59), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'expand_tile', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 3, 19), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 3, 22), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', None, 240747077L, datetime.datetime(2013, 5, 19, 15, 3, 22), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 15, 6, 46), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'view_full_application_via_message', '3', 240747471L, datetime.datetime(2013, 5, 19, 15, 7, 20), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 15, 10, 41), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 15, 10, 41), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 10, 41), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 15, 10, 41), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'view_full_application_via_name', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 10, 45), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 16, 15), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 15, 16, 15), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 15, 16, 15), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 15, 16, 15), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'view_full_application_via_name', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 16, 23), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 19, 15, 16, 36), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'impression', '4', 240747077L, datetime.datetime(2013, 5, 19, 15, 16, 36), 0.13438366459716, False, 'time']
['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 19, 15, 16, 36), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 19, 15, 16, 36), 0.514727518110891, True, 'time']

['gbakiris', 202554987, 'impression', '2', 240751160L, datetime.datetime(2013, 5, 20, 17, 48, 11), 0.0415105597437846, False, 'time']
['gbakiris', 202554987, 'impression', '3', 240747471L, datetime.datetime(2013, 5, 20, 17, 48, 11), 0.514727518110891, True, 'time']
['gbakiris', 202554987, 'impression', '1', 240752030L, datetime.datetime(2013, 5, 20, 17, 48, 11), 0.0423669899518999, False, 'time']
['gbakiris', 202554987, 'view_full_application_via_name', '3', 240747471L, datetime.datetime(2013, 5, 20, 17, 48, 18), 0.514727518110891, True, 'time']

