['mac_robert', 202543846, 'impression', '18', 240504236L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.16933290875929, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240508910L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.151909407694782, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240503626L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.129877450695625, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240513707L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.0871087497241858, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240511399L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.12952151412443, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240508725L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.124555151324847, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240509684L, datetime.datetime(2013, 5, 16, 7, 13, 45), 0.132748991556483, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240516084L, datetime.datetime(2013, 5, 16, 7, 14, 53), 0.0521930609288032, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240516084L, datetime.datetime(2013, 5, 16, 7, 16, 57), 0.0521930609288032, False, 'time']

['mac_robert', 202543846, 'impression', '9', 240541256L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240533208L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.0643762685900505, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240538981L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.0892329156929255, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240532602L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.0895227028603624, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240637078L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.207000470109914, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240543115L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.109200744581697, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240553988L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.0300902527466929, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.129984521890879, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240620512L, datetime.datetime(2013, 5, 18, 8, 11, 48), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '8', 240542845L, datetime.datetime(2013, 5, 18, 8, 12, 11), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '5', 240553988L, datetime.datetime(2013, 5, 18, 8, 13, 39), 0.0300902527466929, False, 'time']

['mac_robert', 202543846, 'view_full_application_via_name', '9', 240541256L, datetime.datetime(2013, 5, 18, 8, 44, 48), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240637078L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.207000470109914, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240543115L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.109200744581697, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240620512L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240553988L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.0300902527466929, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.129984521890879, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240541256L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240538981L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.0892329156929255, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240533208L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.0643762685900505, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240532602L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.0895227028603624, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 18, 8, 46, 47), 0.0863521809120624, False, 'time']

['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240637078L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.207000470109914, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240553988L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.0300902527466929, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.129984521890879, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240620512L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240543115L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.109200744581697, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240533208L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.0643762685900505, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240541256L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240532602L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.0895227028603624, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240538981L, datetime.datetime(2013, 5, 22, 1, 0, 24), 0.0892329156929255, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '3', 240620512L, datetime.datetime(2013, 5, 22, 1, 0, 29), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240543115L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.109200744581697, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240553988L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.0300902527466929, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240620512L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.129984521890879, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240532602L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.0895227028603624, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240533208L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.0643762685900505, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240541256L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240538981L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.0892329156929255, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240637078L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.207000470109914, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 22, 1, 25, 54), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '2', 240627093L, datetime.datetime(2013, 5, 22, 1, 25, 57), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '10', 240538981L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.0892329156929255, False, 'time']
['mac_robert', 202543846, 'impression', '9', 240541256L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.165518219019259, False, 'time']
['mac_robert', 202543846, 'impression', '13', 240532602L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.0895227028603624, False, 'time']
['mac_robert', 202543846, 'impression', '12', 240533208L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.0643762685900505, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.129984521890879, False, 'time']
['mac_robert', 202543846, 'impression', '7', 240543115L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.109200744581697, False, 'time']
['mac_robert', 202543846, 'impression', '3', 240620512L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.094598351957047, False, 'time']
['mac_robert', 202543846, 'impression', '5', 240553988L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.0300902527466929, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '1', 240637078L, datetime.datetime(2013, 5, 22, 1, 33, 8), 0.207000470109914, False, 'time']
['mac_robert', 202543846, 'view_full_application_via_name', '4', 240573291L, datetime.datetime(2013, 5, 22, 1, 33, 11), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '16', 240530104L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.127893532488638, False, 'time']
['mac_robert', 202543846, 'impression', '4', 240573291L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.0863521809120624, False, 'time']
['mac_robert', 202543846, 'impression', '20', 240518545L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.160438965421995, False, 'time']
['mac_robert', 202543846, 'impression', '15', 240531890L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.162045369229347, False, 'time']
['mac_robert', 202543846, 'impression', '17', 240529557L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.147662509399046, False, 'time']
['mac_robert', 202543846, 'impression', '8', 240542845L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.106502847083882, False, 'time']
['mac_robert', 202543846, 'impression', '18', 240524244L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.378652361428953, False, 'time']
['mac_robert', 202543846, 'impression', '6', 240544370L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.287909255820292, False, 'time']
['mac_robert', 202543846, 'impression', '11', 240534652L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.1459755887281, False, 'time']
['mac_robert', 202543846, 'impression', '14', 240532438L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.156519789274422, False, 'time']
['mac_robert', 202543846, 'impression', '2', 240627093L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.129382604076439, False, 'time']
['mac_robert', 202543846, 'impression', '19', 240519814L, datetime.datetime(2013, 5, 22, 1, 33, 26), 0.129984521890879, False, 'time']
