['timo', 202569017, 'impression', '10', 241054557L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0381497532861949, False, 'time']
['timo', 202569017, 'impression', '3', 241080281L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0154330383977764, False, 'time']
['timo', 202569017, 'impression', '20', 241041310L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.096695633037071, False, 'time']
['timo', 202569017, 'impression', '5', 241068765L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.038640356206394, False, 'time']
['timo', 202569017, 'impression', '18', 241041688L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0274864247017594, False, 'time']
['timo', 202569017, 'impression', '4', 241076664L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0489582920889864, False, 'time']
['timo', 202569017, 'impression', '19', 241041348L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0186862964130407, False, 'time']
['timo', 202569017, 'impression', '17', 241041932L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0182036047496294, False, 'time']
['timo', 202569017, 'impression', '8', 241056532L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.148074571409209, False, 'time']
['timo', 202569017, 'impression', '15', 241046380L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0234439454694712, False, 'time']
['timo', 202569017, 'impression', '14', 241047091L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0853381783801205, False, 'time']
['timo', 202569017, 'impression', '7', 241058111L, datetime.datetime(2013, 5, 23, 15, 33, 8), 0.0684669064965457, False, 'time']

