['lazzaros', 202580993, 'impression', '3', 241283862L, datetime.datetime(2013, 5, 25, 17, 41, 8), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'expand_tile', '3', 241283862L, datetime.datetime(2013, 5, 25, 17, 41, 18), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'view_full_application', '3', 241283862L, datetime.datetime(2013, 5, 25, 17, 41, 20), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 25, 17, 59, 7), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283829L, datetime.datetime(2013, 5, 25, 17, 59, 7), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283809L, datetime.datetime(2013, 5, 25, 17, 59, 7), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283862L, datetime.datetime(2013, 5, 25, 17, 59, 7), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '3', 241283809L, datetime.datetime(2013, 5, 25, 18, 0, 13), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283862L, datetime.datetime(2013, 5, 25, 18, 0, 13), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 25, 18, 0, 13), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283829L, datetime.datetime(2013, 5, 25, 18, 0, 13), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'expand_tile', '3', 241283809L, datetime.datetime(2013, 5, 25, 18, 0, 19), 0.244217559713964, False, 'time']
['lazzaros', 202580993, 'view_full_application', '3', 241283809L, datetime.datetime(2013, 5, 25, 18, 0, 22), 0.244217559713964, False, 'time']

['lazzaros', 202580993, 'impression', '2', 241283829L, datetime.datetime(2013, 5, 25, 18, 54, 52), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283714L, datetime.datetime(2013, 5, 25, 18, 54, 52), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283862L, datetime.datetime(2013, 5, 25, 18, 54, 52), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241283862L, datetime.datetime(2013, 5, 25, 18, 55, 59), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '3', 241283714L, datetime.datetime(2013, 5, 25, 18, 55, 59), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283829L, datetime.datetime(2013, 5, 25, 18, 55, 59), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'expand_tile', '1', 241283862L, datetime.datetime(2013, 5, 25, 18, 56, 10), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'view_full_application', '1', 241283862L, datetime.datetime(2013, 5, 25, 18, 56, 12), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '3', 241283714L, datetime.datetime(2013, 5, 25, 19, 1, 45), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283829L, datetime.datetime(2013, 5, 25, 19, 1, 45), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241283862L, datetime.datetime(2013, 5, 25, 19, 1, 45), 0.365737248582674, True, 'time']

['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 12, 55, 8), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 12, 55, 8), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 55, 8), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 55, 8), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'expand_tile', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 55, 24), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'view_full_application', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 56, 8), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 12, 57, 5), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 57, 5), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 57, 5), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 12, 57, 5), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'impression', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 59, 8), 0.365737248582674, True, 'time']
['lazzaros', 202580993, 'impression', '1', 241295465L, datetime.datetime(2013, 5, 26, 12, 59, 8), 0.317913102417587, False, 'time']
['lazzaros', 202580993, 'impression', '3', 241283829L, datetime.datetime(2013, 5, 26, 12, 59, 8), 0.088496883604078, False, 'time']
['lazzaros', 202580993, 'impression', '4', 241283714L, datetime.datetime(2013, 5, 26, 12, 59, 8), 0.203560397608665, False, 'time']
['lazzaros', 202580993, 'view_full_application_via_name', '2', 241283862L, datetime.datetime(2013, 5, 26, 12, 59, 11), 0.365737248582674, True, 'time']
