['ak-steve', 202557592, 'expand_tile', '15', 240811130L, datetime.datetime(2013, 5, 26, 5, 16, 23), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'collapse_tile', '15', 240811130L, datetime.datetime(2013, 5, 26, 5, 16, 48), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'expand_tile', '15', 240811130L, datetime.datetime(2013, 5, 26, 5, 16, 49), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'expand_tile', '16', 240810359L, datetime.datetime(2013, 5, 26, 5, 18, 59), 0.288570756738467, False, 'time']
['ak-steve', 202557592, 'hide', '16', 240810359L, datetime.datetime(2013, 5, 26, 5, 19, 19), 0.288570756738467, False, 'time']
['ak-steve', 202557592, 'expand_tile', '16', 240810359L, datetime.datetime(2013, 5, 26, 5, 19, 20), 0.288570756738467, False, 'time']
['ak-steve', 202557592, 'expand_tile', '17', 240809570L, datetime.datetime(2013, 5, 26, 5, 19, 26), 0.175907312432153, False, 'time']
['ak-steve', 202557592, 'expand_tile', '18', 240808913L, datetime.datetime(2013, 5, 26, 5, 21, 36), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'expand_tile', '19', 240808581L, datetime.datetime(2013, 5, 26, 5, 21, 55), 0.110247387393424, False, 'time']
['ak-steve', 202557592, 'hide', '19', 240808581L, datetime.datetime(2013, 5, 26, 5, 22, 4), 0.110247387393424, False, 'time']
['ak-steve', 202557592, 'expand_tile', '19', 240808581L, datetime.datetime(2013, 5, 26, 5, 22, 4), 0.110247387393424, False, 'time']
['ak-steve', 202557592, 'expand_tile', '20', 240808346L, datetime.datetime(2013, 5, 26, 5, 22, 5), 0.221920088545457, False, 'time']
['ak-steve', 202557592, 'hide', '20', 240808346L, datetime.datetime(2013, 5, 26, 5, 22, 27), 0.221920088545457, False, 'time']
['ak-steve', 202557592, 'expand_tile', '20', 240808346L, datetime.datetime(2013, 5, 26, 5, 22, 27), 0.221920088545457, False, 'time']
['ak-steve', 202557592, 'expand_tile', '21', 240807644L, datetime.datetime(2013, 5, 26, 5, 22, 30), 0.354207186841412, False, 'time']
['ak-steve', 202557592, 'hide', '21', 240807644L, datetime.datetime(2013, 5, 26, 5, 22, 48), 0.354207186841412, False, 'time']
['ak-steve', 202557592, 'expand_tile', '21', 240807644L, datetime.datetime(2013, 5, 26, 5, 22, 49), 0.354207186841412, False, 'time']
['ak-steve', 202557592, 'expand_tile', '22', 240806587L, datetime.datetime(2013, 5, 26, 5, 22, 51), 0.236854189950435, False, 'time']
['ak-steve', 202557592, 'hide', '22', 240806587L, datetime.datetime(2013, 5, 26, 5, 23, 1), 0.236854189950435, False, 'time']
['ak-steve', 202557592, 'expand_tile', '22', 240806587L, datetime.datetime(2013, 5, 26, 5, 23, 2), 0.236854189950435, False, 'time']
['ak-steve', 202557592, 'expand_tile', '23', 240805627L, datetime.datetime(2013, 5, 26, 5, 23, 4), 0.157211739094755, False, 'time']
['ak-steve', 202557592, 'expand_tile', '23', 240805627L, datetime.datetime(2013, 5, 26, 5, 23, 8), 0.157211739094755, False, 'time']
['ak-steve', 202557592, 'hide', '23', 240805627L, datetime.datetime(2013, 5, 26, 5, 23, 8), 0.157211739094755, False, 'time']
['ak-steve', 202557592, 'expand_tile', '24', 240804166L, datetime.datetime(2013, 5, 26, 5, 23, 10), 0.0604265043614461, False, 'time']
['ak-steve', 202557592, 'hide', '24', 240804166L, datetime.datetime(2013, 5, 26, 5, 23, 23), 0.0604265043614461, False, 'time']
['ak-steve', 202557592, 'expand_tile', '24', 240804166L, datetime.datetime(2013, 5, 26, 5, 23, 23), 0.0604265043614461, False, 'time']
['ak-steve', 202557592, 'expand_tile', '25', 240802894L, datetime.datetime(2013, 5, 26, 5, 23, 34), 0.32483363724051, False, 'time']
['ak-steve', 202557592, 'expand_tile', '25', 240802894L, datetime.datetime(2013, 5, 26, 5, 24), 0.32483363724051, False, 'time']
['ak-steve', 202557592, 'shortlist', '25', 240802894L, datetime.datetime(2013, 5, 26, 5, 24), 0.32483363724051, False, 'time']
['ak-steve', 202557592, 'expand_tile', '26', 240802869L, datetime.datetime(2013, 5, 26, 5, 24, 3), 0.479945263106529, False, 'time']
['ak-steve', 202557592, 'hide', '26', 240802869L, datetime.datetime(2013, 5, 26, 5, 24, 11), 0.479945263106529, False, 'time']
['ak-steve', 202557592, 'expand_tile', '26', 240802869L, datetime.datetime(2013, 5, 26, 5, 24, 11), 0.479945263106529, False, 'time']
['ak-steve', 202557592, 'expand_tile', '27', 240802235L, datetime.datetime(2013, 5, 26, 5, 24, 15), 0.389262257188573, False, 'time']
['ak-steve', 202557592, 'expand_tile', '28', 240801852L, datetime.datetime(2013, 5, 26, 5, 24, 54), 0.32452132676687, False, 'time']
['ak-steve', 202557592, 'hide', '28', 240801852L, datetime.datetime(2013, 5, 26, 5, 25, 43), 0.32452132676687, False, 'time']
['ak-steve', 202557592, 'expand_tile', '28', 240801852L, datetime.datetime(2013, 5, 26, 5, 25, 44), 0.32452132676687, False, 'time']
['ak-steve', 202557592, 'impression', '10', 240802363L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.103472876809778, False, 'time']
['ak-steve', 202557592, 'impression', '2', 240833577L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'impression', '7', 240809570L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.175907312432153, False, 'time']
['ak-steve', 202557592, 'impression', '8', 240808913L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'impression', '5', 240815264L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'impression', '6', 240811130L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'impression', '4', 240818279L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'impression', '3', 240829828L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'impression', '9', 240802894L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.32483363724051, False, 'time']
['ak-steve', 202557592, 'impression', '1', 240965943L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.384053885469142, False, 'time']
['ak-steve', 202557592, 'impression', '12', 240801607L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.173855614759729, False, 'time']
['ak-steve', 202557592, 'impression', '11', 240802235L, datetime.datetime(2013, 5, 26, 5, 26, 4), 0.389262257188573, False, 'time']
['ak-steve', 202557592, 'expand_tile', '8', 240808913L, datetime.datetime(2013, 5, 26, 5, 26, 15), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'expand_tile', '10', 240802363L, datetime.datetime(2013, 5, 26, 5, 26, 26), 0.103472876809778, False, 'time']
['ak-steve', 202557592, 'expand_tile', '10', 240802363L, datetime.datetime(2013, 5, 26, 5, 26, 36), 0.103472876809778, False, 'time']
['ak-steve', 202557592, 'hide', '10', 240802363L, datetime.datetime(2013, 5, 26, 5, 26, 36), 0.103472876809778, False, 'time']
['ak-steve', 202557592, 'expand_tile', '12', 240801607L, datetime.datetime(2013, 5, 26, 5, 26, 40), 0.173855614759729, False, 'time']
['ak-steve', 202557592, 'view_full_application_via_name', '12', 240801607L, datetime.datetime(2013, 5, 26, 5, 27, 16), 0.173855614759729, False, 'time']
['ak-steve', 202557592, 'impression', '3', 240829828L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.180148313457748, False, 'time']
['ak-steve', 202557592, 'impression', '10', 240802235L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.389262257188573, False, 'time']
['ak-steve', 202557592, 'impression', '7', 240809570L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.175907312432153, False, 'time']
['ak-steve', 202557592, 'impression', '8', 240808913L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.117676670076161, False, 'time']
['ak-steve', 202557592, 'impression', '5', 240815264L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.307722810403352, False, 'time']
['ak-steve', 202557592, 'impression', '6', 240811130L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.1238350978666, True, 'time']
['ak-steve', 202557592, 'impression', '4', 240818279L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.39264994660714, True, 'time']
['ak-steve', 202557592, 'impression', '2', 240833577L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.33298102399911, False, 'time']
['ak-steve', 202557592, 'impression', '11', 240801607L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.173855614759729, False, 'time']
['ak-steve', 202557592, 'impression', '1', 240965943L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.384053885469142, False, 'time']
['ak-steve', 202557592, 'impression', '9', 240802894L, datetime.datetime(2013, 5, 26, 5, 29, 2), 0.32483363724051, False, 'time']

