['martylwhite', 202586565, 'impression', '2', 241420285L, datetime.datetime(2013, 5, 27, 18, 13), 0.0901060525922943, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 13), 0.047147310555888, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '2', 241420285L, datetime.datetime(2013, 5, 27, 18, 13, 14), 0.0901060525922943, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412824L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241413230L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '8', 241412488L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413685L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '7', 241412686L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.047147310555888, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241420285L, datetime.datetime(2013, 5, 27, 18, 13, 44), 0.0901060525922943, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241420285L, datetime.datetime(2013, 5, 27, 18, 13, 46), 0.0901060525922943, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241420285L, datetime.datetime(2013, 5, 27, 18, 13, 47), 0.0901060525922943, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 13, 49), 0.047147310555888, False, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241420484L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.047147310555888, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 27, 18, 15, 27), 0.207846967063467, False, 'time']
