['neversleeping', 202584706, 'send_message', '4', 241381243L, datetime.datetime(2013, 5, 27, 10, 5, 47), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'expand_tile', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 6, 12), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'view_full_application_via_name', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 6, 16), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372618L, datetime.datetime(2013, 5, 27, 10, 6, 49), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 6, 49), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241381243L, datetime.datetime(2013, 5, 27, 10, 6, 49), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 6, 49), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 10, 6, 49), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 6, 55), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 10, 7, 10), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 10, 28, 14), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 10, 28, 14), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241381243L, datetime.datetime(2013, 5, 27, 10, 28, 14), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 10, 28, 14), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372618L, datetime.datetime(2013, 5, 27, 10, 28, 14), 0.133235564454895, False, 'best']

['neversleeping', 202584706, 'impression', '3', 241372618L, datetime.datetime(2013, 5, 27, 12, 17, 50), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 12, 17, 50), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 17, 50), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 12, 17, 50), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241381243L, datetime.datetime(2013, 5, 27, 12, 17, 50), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'expand_tile', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 17, 53), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'view_full_application_via_name', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 18, 53), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241381243L, datetime.datetime(2013, 5, 27, 12, 23, 34), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 23, 34), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 12, 23, 34), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 12, 23, 34), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372618L, datetime.datetime(2013, 5, 27, 12, 23, 34), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'expand_tile', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 23, 44), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 12, 23, 58), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241372331L, datetime.datetime(2013, 5, 27, 12, 25, 47), 0.20062619276247, False, 'best']

['neversleeping', 202584706, 'impression', '5', 241381243L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.111510157494728, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '6', 241369337L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 27, 14, 3, 25), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'view_full_application_via_name', '2', 241365731L, datetime.datetime(2013, 5, 27, 14, 4, 18), 0.23217279455482, False, 'best']

['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 27, 14, 49, 28), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 14, 49, 28), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 27, 14, 49, 28), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 49, 28), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 14, 49, 28), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'expand_tile', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 50, 16), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'view_full_application', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 50, 44), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 14, 51, 19), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 27, 14, 51, 19), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 27, 14, 51, 19), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 51, 19), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 14, 51, 19), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 27, 14, 55, 24), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 27, 14, 55, 24), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 27, 14, 55, 24), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 27, 14, 55, 24), 0.133235564454895, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 27, 14, 55, 24), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'view_full_application_via_name', '1', 241365580L, datetime.datetime(2013, 5, 27, 14, 55, 52), 0.40708002765161, False, 'best']

['neversleeping', 202584706, 'impression', '2', 241365731L, datetime.datetime(2013, 5, 28, 7, 12, 14), 0.23217279455482, False, 'best']
['neversleeping', 202584706, 'impression', '1', 241365580L, datetime.datetime(2013, 5, 28, 7, 12, 14), 0.40708002765161, False, 'best']
['neversleeping', 202584706, 'impression', '3', 241372331L, datetime.datetime(2013, 5, 28, 7, 12, 14), 0.20062619276247, False, 'best']
['neversleeping', 202584706, 'impression', '5', 241369337L, datetime.datetime(2013, 5, 28, 7, 12, 14), 0.0563527987152604, False, 'best']
['neversleeping', 202584706, 'impression', '4', 241372618L, datetime.datetime(2013, 5, 28, 7, 12, 14), 0.133235564454895, False, 'best']
