['johan_rheeder', 202559290, 'impression', '5', 240851261L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.113767761221048, False, 'best']
['johan_rheeder', 202559290, 'impression', '3', 240844100L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.155358035970698, False, 'best']
['johan_rheeder', 202559290, 'impression', '2', 240892063L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.158263413462594, False, 'best']
['johan_rheeder', 202559290, 'impression', '7', 240845385L, datetime.datetime(2013, 5, 21, 8, 38, 13), 0.0765532706230496, False, 'best']
['johan_rheeder', 202559290, 'impression', '3', 240844100L, datetime.datetime(2013, 5, 21, 8, 56, 46), 0.155358035970698, False, 'best']
['johan_rheeder', 202559290, 'impression', '4', 240844582L, datetime.datetime(2013, 5, 21, 8, 56, 53), 0.127277700933823, False, 'best']
['johan_rheeder', 202559290, 'impression', '5', 240851261L, datetime.datetime(2013, 5, 21, 8, 56, 56), 0.113767761221048, False, 'best']
['johan_rheeder', 202559290, 'impression', '7', 240845385L, datetime.datetime(2013, 5, 21, 8, 57, 2), 0.0765532706230496, False, 'best']
['johan_rheeder', 202559290, 'impression', '4', 240844582L, datetime.datetime(2013, 5, 21, 8, 57, 5), 0.127277700933823, False, 'best']
['johan_rheeder', 202559290, 'impression', '1', 240864163L, datetime.datetime(2013, 5, 21, 8, 57, 6), 0.162003778736884, False, 'best']
['johan_rheeder', 202559290, 'impression', '1', 240864163L, datetime.datetime(2013, 5, 21, 8, 57, 8), 0.162003778736884, False, 'best']
['johan_rheeder', 202559290, 'impression', '2', 240892063L, datetime.datetime(2013, 5, 21, 8, 57, 9), 0.158263413462594, False, 'best']

