['vinny168', 202544606, 'view_full_application', '6', 240563591L, datetime.datetime(2013, 5, 17, 7, 46, 14), 0.0912040400587071, False, 'time']

['vinny168', 202544606, 'impression', '14', 240540376L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544659L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '18', 240535933L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.174115878706454, False, 'time']
['vinny168', 202544606, 'impression', '7', 240563591L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0912040400587071, False, 'time']
['vinny168', 202544606, 'impression', '19', 240534309L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'impression', '10', 240559635L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '3', 240582971L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '6', 240566817L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '8', 240562026L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '17', 240537857L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.186690466070148, False, 'time']
['vinny168', 202544606, 'impression', '12', 240544492L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540511L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '9', 240561194L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0695287251937839, False, 'time']
['vinny168', 202544606, 'impression', '4', 240569369L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '16', 240539636L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '1', 240697618L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.298865332292431, False, 'time']
['vinny168', 202544606, 'impression', '2', 240626459L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'impression', '15', 240540358L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.12038609554993, False, 'time']
['vinny168', 202544606, 'impression', '20', 240533660L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'impression', '5', 240568165L, datetime.datetime(2013, 5, 19, 13, 1, 57), 0.103162833031935, False, 'time']

['vinny168', 202544606, 'expand_tile', '2', 240626459L, datetime.datetime(2013, 5, 19, 14, 7, 31), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'collapse_tile', '2', 240626459L, datetime.datetime(2013, 5, 19, 14, 7, 48), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'impression', '5', 240568165L, datetime.datetime(2013, 5, 19, 14, 7, 49), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '4', 240569369L, datetime.datetime(2013, 5, 19, 14, 7, 49), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '2', 240626459L, datetime.datetime(2013, 5, 19, 14, 7, 50), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'impression', '3', 240582971L, datetime.datetime(2013, 5, 19, 14, 7, 52), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '1', 240697618L, datetime.datetime(2013, 5, 19, 14, 7, 53), 0.298865332292431, False, 'time']
['vinny168', 202544606, 'impression', '3', 240582971L, datetime.datetime(2013, 5, 19, 14, 7, 54), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '10', 240559635L, datetime.datetime(2013, 5, 19, 14, 8, 2), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '11', 240544659L, datetime.datetime(2013, 5, 19, 14, 8, 3), 0.451230663928138, False, 'time']
['vinny168', 202544606, 'impression', '12', 240544492L, datetime.datetime(2013, 5, 19, 14, 8, 11), 0.132300566986825, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540511L, datetime.datetime(2013, 5, 19, 14, 8, 16), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '13', 240540511L, datetime.datetime(2013, 5, 19, 14, 8, 19), 0.183595494205801, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540376L, datetime.datetime(2013, 5, 19, 14, 15, 46), 0.130235432237166, False, 'time']
['vinny168', 202544606, 'expand_tile', '19', 240534309L, datetime.datetime(2013, 5, 19, 14, 18, 24), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'collapse_tile', '19', 240534309L, datetime.datetime(2013, 5, 19, 14, 18, 27), 0.0997832447434758, False, 'time']
['vinny168', 202544606, 'expand_tile', '3', 240582971L, datetime.datetime(2013, 5, 19, 14, 19, 31), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'expand_tile', '4', 240569369L, datetime.datetime(2013, 5, 19, 14, 20, 14), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'expand_tile', '5', 240568165L, datetime.datetime(2013, 5, 19, 14, 20, 45), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '5', 240568165L, datetime.datetime(2013, 5, 19, 14, 20, 58), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'expand_tile', '5', 240568165L, datetime.datetime(2013, 5, 19, 14, 21), 0.103162833031935, False, 'time']
['vinny168', 202544606, 'impression', '6', 240566817L, datetime.datetime(2013, 5, 19, 14, 21), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'expand_tile', '8', 240562026L, datetime.datetime(2013, 5, 19, 14, 21, 20), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'view_full_application', '8', 240562026L, datetime.datetime(2013, 5, 19, 14, 21, 47), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '4', 240569369L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.110705323866634, False, 'time']
['vinny168', 202544606, 'impression', '15', 240539636L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.13698852880143, False, 'time']
['vinny168', 202544606, 'impression', '19', 240533660L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.184261744267003, False, 'time']
['vinny168', 202544606, 'impression', '14', 240540358L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.12038609554993, False, 'time']
['vinny168', 202544606, 'impression', '2', 240626459L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0361752395421396, False, 'time']
['vinny168', 202544606, 'impression', '1', 240697618L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.298865332292431, False, 'time']
['vinny168', 202544606, 'impression', '9', 240559635L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0991723402189646, False, 'time']
['vinny168', 202544606, 'impression', '3', 240582971L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0839807736197324, False, 'time']
['vinny168', 202544606, 'impression', '7', 240562026L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.370709440003564, False, 'time']
['vinny168', 202544606, 'impression', '5', 240566817L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.175047959950084, False, 'time']
['vinny168', 202544606, 'impression', '18', 240534309L, datetime.datetime(2013, 5, 19, 14, 26, 10), 0.0997832447434758, False, 'time']
