['ymbproperties', 202585503, 'impression', '6', 241386386L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.2034512433446, False, 'time']
['ymbproperties', 202585503, 'impression', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'impression', '1', 241388333L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'impression', '5', 241387385L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'impression', '4', 241387567L, datetime.datetime(2013, 5, 27, 9, 53, 29), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'hide', '3', 241388040L, datetime.datetime(2013, 5, 27, 9, 53, 30), 0.137023151153635, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '2', 241388189L, datetime.datetime(2013, 5, 27, 9, 53, 34), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'view_full_application_via_name', '2', 241388189L, datetime.datetime(2013, 5, 27, 9, 53, 48), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'impression', '2', 241389141L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.0908042231751996, False, 'time']
['ymbproperties', 202585503, 'impression', '5', 241387567L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.11787921229836, False, 'time']
['ymbproperties', 202585503, 'impression', '3', 241388333L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'impression', '6', 241387385L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.0694515929195448, False, 'time']
['ymbproperties', 202585503, 'impression', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'impression', '7', 241386386L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.2034512433446, False, 'time']
['ymbproperties', 202585503, 'impression', '4', 241388189L, datetime.datetime(2013, 5, 27, 9, 58, 34), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'shortlist', '4', 241388189L, datetime.datetime(2013, 5, 27, 9, 58, 39), 0.224016632612568, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '3', 241388333L, datetime.datetime(2013, 5, 27, 9, 58, 42), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '3', 241388333L, datetime.datetime(2013, 5, 27, 9, 58, 53), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'hide', '3', 241388333L, datetime.datetime(2013, 5, 27, 9, 58, 53), 0.0990823012572392, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '2', 241389141L, datetime.datetime(2013, 5, 27, 9, 58, 54), 0.0908042231751996, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '2', 241389141L, datetime.datetime(2013, 5, 27, 9, 58, 58), 0.0908042231751996, False, 'time']
['ymbproperties', 202585503, 'hide', '2', 241389141L, datetime.datetime(2013, 5, 27, 9, 58, 58), 0.0908042231751996, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 58, 59), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'collapse_tile', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 59, 20), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'expand_tile', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 59, 21), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'view_full_application', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 59, 22), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'view_full_application', '1', 241389412L, datetime.datetime(2013, 5, 27, 9, 59, 24), 0.0539513460327263, False, 'time']
['ymbproperties', 202585503, 'impression', '8', 241386386L, datetime.datetime(2013, 5, 27, 10, 4, 38), 0.2034512433446, False, 'time']
