['joomgo', 202537819, 'impression', '3', 240393521L, datetime.datetime(2013, 5, 15, 18, 28, 13), 0.765027005849536, False, 'best']

['joomgo', 202537819, 'impression', '17', 240390460L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.503189771605453, False, 'best']
['joomgo', 202537819, 'impression', '12', 240388793L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.586802315323268, False, 'best']
['joomgo', 202537819, 'impression', '9', 240432171L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.620246253671421, False, 'best']
['joomgo', 202537819, 'impression', '16', 240389797L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.525801830919341, False, 'best']
['joomgo', 202537819, 'impression', '3', 240389592L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.703864180873804, False, 'best']
['joomgo', 202537819, 'impression', '7', 240421097L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.631786368756209, False, 'best']
['joomgo', 202537819, 'impression', '8', 240432084L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.627525851979083, False, 'best']
['joomgo', 202537819, 'impression', '2', 240389984L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.805754969071029, False, 'best']
['joomgo', 202537819, 'impression', '11', 240432667L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.606961598687381, False, 'best']
['joomgo', 202537819, 'impression', '6', 240462317L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.644523859943536, False, 'best']
['joomgo', 202537819, 'impression', '4', 240389534L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.697951154168836, False, 'best']
['joomgo', 202537819, 'impression', '1', 240390507L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.811334646225217, False, 'best']
['joomgo', 202537819, 'impression', '13', 240415503L, datetime.datetime(2013, 5, 16, 12, 45, 33), 0.555903224209991, False, 'best']
