['zevbader', 202594435, 'impression', '2', 241581655L, datetime.datetime(2013, 5, 29, 15, 38, 9), 0.27354455391454, False, 'best']
['zevbader', 202594435, 'impression', '1', 241591340L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.126760861964738, False, 'time']
['zevbader', 202594435, 'impression', '11', 241582690L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.443185353008373, False, 'time']
['zevbader', 202594435, 'impression', '12', 241582602L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.10983291082687, False, 'time']
['zevbader', 202594435, 'impression', '15', 241581985L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0907466958888292, False, 'time']
['zevbader', 202594435, 'impression', '14', 241582037L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0723020389943631, False, 'time']
['zevbader', 202594435, 'impression', '2', 241590396L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.2544476687058, False, 'time']
['zevbader', 202594435, 'impression', '18', 241581483L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.131842703045301, False, 'time']
['zevbader', 202594435, 'impression', '17', 241581595L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0808201113900561, False, 'time']
['zevbader', 202594435, 'impression', '4', 241589803L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.11663120004871, False, 'time']
['zevbader', 202594435, 'impression', '8', 241586032L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0671546714857386, False, 'time']
['zevbader', 202594435, 'impression', '5', 241587739L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.135083955903087, False, 'time']
['zevbader', 202594435, 'impression', '6', 241587476L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.122416210846478, False, 'time']
['zevbader', 202594435, 'impression', '13', 241582287L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.10210294390337, False, 'time']
['zevbader', 202594435, 'impression', '3', 241590370L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.222017999665927, False, 'time']
['zevbader', 202594435, 'impression', '16', 241581655L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.27354455391454, False, 'time']
['zevbader', 202594435, 'impression', '7', 241586522L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.171947165220804, False, 'time']
['zevbader', 202594435, 'impression', '9', 241584585L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.111266720624921, False, 'time']
['zevbader', 202594435, 'impression', '19', 241581453L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0664359933287629, False, 'time']
['zevbader', 202594435, 'impression', '20', 241581266L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.139212943287478, False, 'time']
['zevbader', 202594435, 'impression', '10', 241583266L, datetime.datetime(2013, 5, 29, 15, 38, 19), 0.0576450040911747, False, 'time']
['zevbader', 202594435, 'expand_tile', '1', 241591340L, datetime.datetime(2013, 5, 29, 15, 38, 32), 0.126760861964738, False, 'time']
['zevbader', 202594435, 'expand_tile', '2', 241590396L, datetime.datetime(2013, 5, 29, 15, 38, 55), 0.2544476687058, False, 'time']
['zevbader', 202594435, 'expand_tile', '3', 241590370L, datetime.datetime(2013, 5, 29, 15, 39, 7), 0.222017999665927, False, 'time']
['zevbader', 202594435, 'view_full_application_via_name', '1', 241591340L, datetime.datetime(2013, 5, 29, 15, 39, 30), 0.126760861964738, False, 'time']

['zevbader', 202594435, 'impression', '10', 241587739L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.135083955903087, False, 'best']
['zevbader', 202594435, 'impression', '16', 241589803L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.11663120004871, False, 'best']
['zevbader', 202594435, 'impression', '5', 241580486L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.217255852192429, False, 'best']
['zevbader', 202594435, 'impression', '8', 241580711L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.156809020577185, False, 'best']
['zevbader', 202594435, 'impression', '9', 241581266L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.139212943287478, False, 'best']
['zevbader', 202594435, 'impression', '17', 241581202L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.110567151604293, False, 'best']
['zevbader', 202594435, 'impression', '12', 241581210L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.127487385142329, False, 'best']
['zevbader', 202594435, 'impression', '4', 241590370L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.222017999665927, False, 'best']
['zevbader', 202594435, 'impression', '14', 241587476L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.122416210846478, False, 'best']
['zevbader', 202594435, 'impression', '20', 241582287L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.10210294390337, False, 'best']
['zevbader', 202594435, 'impression', '2', 241581655L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.27354455391454, False, 'best']
['zevbader', 202594435, 'impression', '6', 241586522L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.171947165220804, False, 'best']
['zevbader', 202594435, 'impression', '15', 241581116L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.118014687335813, False, 'best']
['zevbader', 202594435, 'impression', '1', 241582690L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.443185353008373, False, 'best']
['zevbader', 202594435, 'impression', '13', 241591340L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.126760861964738, False, 'best']
['zevbader', 202594435, 'impression', '19', 241580682L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.10711162094226, False, 'best']
['zevbader', 202594435, 'impression', '7', 241581204L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.167440921516202, False, 'best']
['zevbader', 202594435, 'impression', '18', 241582602L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.10983291082687, False, 'best']
['zevbader', 202594435, 'impression', '11', 241581483L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.131842703045301, False, 'best']
['zevbader', 202594435, 'impression', '3', 241590396L, datetime.datetime(2013, 5, 29, 16, 14, 11), 0.2544476687058, False, 'best']
['zevbader', 202594435, 'impression', '1', 241591340L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.126760861964738, False, 'time']
['zevbader', 202594435, 'impression', '12', 241582602L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.10983291082687, False, 'time']
['zevbader', 202594435, 'impression', '11', 241582690L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.443185353008373, False, 'time']
['zevbader', 202594435, 'impression', '15', 241581985L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0907466958888292, False, 'time']
['zevbader', 202594435, 'impression', '9', 241584585L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.111266720624921, False, 'time']
['zevbader', 202594435, 'impression', '20', 241581266L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.139212943287478, False, 'time']
['zevbader', 202594435, 'impression', '19', 241581453L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0664359933287629, False, 'time']
['zevbader', 202594435, 'impression', '10', 241583266L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0576450040911747, False, 'time']
['zevbader', 202594435, 'impression', '7', 241586522L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.171947165220804, False, 'time']
['zevbader', 202594435, 'impression', '16', 241581655L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.27354455391454, False, 'time']
['zevbader', 202594435, 'impression', '13', 241582287L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.10210294390337, False, 'time']
['zevbader', 202594435, 'impression', '18', 241581483L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.131842703045301, False, 'time']
['zevbader', 202594435, 'impression', '14', 241582037L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0723020389943631, False, 'time']
['zevbader', 202594435, 'impression', '2', 241590396L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.2544476687058, False, 'time']
['zevbader', 202594435, 'impression', '8', 241586032L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0671546714857386, False, 'time']
['zevbader', 202594435, 'impression', '4', 241589803L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.11663120004871, False, 'time']
['zevbader', 202594435, 'impression', '5', 241587739L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.135083955903087, False, 'time']
['zevbader', 202594435, 'impression', '17', 241581595L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.0808201113900561, False, 'time']
['zevbader', 202594435, 'impression', '6', 241587476L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.122416210846478, False, 'time']
['zevbader', 202594435, 'impression', '3', 241590370L, datetime.datetime(2013, 5, 29, 16, 14, 39), 0.222017999665927, False, 'time']
['zevbader', 202594435, 'impression', '3', 241590370L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.222017999665927, False, 'time']
['zevbader', 202594435, 'impression', '4', 241589803L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.11663120004871, False, 'time']
['zevbader', 202594435, 'impression', '17', 241581595L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0808201113900561, False, 'time']
['zevbader', 202594435, 'impression', '5', 241587739L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.135083955903087, False, 'time']
['zevbader', 202594435, 'impression', '8', 241586032L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0671546714857386, False, 'time']
['zevbader', 202594435, 'impression', '16', 241581655L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.27354455391454, False, 'time']
['zevbader', 202594435, 'impression', '7', 241586522L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.171947165220804, False, 'time']
['zevbader', 202594435, 'impression', '9', 241584585L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.111266720624921, False, 'time']
['zevbader', 202594435, 'impression', '19', 241581453L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0664359933287629, False, 'time']
['zevbader', 202594435, 'impression', '20', 241581266L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.139212943287478, False, 'time']
['zevbader', 202594435, 'impression', '10', 241583266L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0576450040911747, False, 'time']
['zevbader', 202594435, 'impression', '2', 241590396L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.2544476687058, False, 'time']
['zevbader', 202594435, 'impression', '18', 241581483L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.131842703045301, False, 'time']
['zevbader', 202594435, 'impression', '14', 241582037L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0723020389943631, False, 'time']
['zevbader', 202594435, 'impression', '6', 241587476L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.122416210846478, False, 'time']
['zevbader', 202594435, 'impression', '13', 241582287L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.10210294390337, False, 'time']
['zevbader', 202594435, 'impression', '11', 241582690L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.443185353008373, False, 'time']
['zevbader', 202594435, 'impression', '12', 241582602L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.10983291082687, False, 'time']
['zevbader', 202594435, 'impression', '1', 241591340L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.126760861964738, False, 'time']
['zevbader', 202594435, 'impression', '15', 241581985L, datetime.datetime(2013, 5, 29, 16, 17, 44), 0.0907466958888292, False, 'time']

['zevbader', 202594435, 'impression', '1', 241582690L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.443185353008373, False, 'best']
['zevbader', 202594435, 'impression', '16', 241581116L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.118014687335813, False, 'best']
['zevbader', 202594435, 'impression', '7', 241581204L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.167440921516202, False, 'best']
['zevbader', 202594435, 'impression', '20', 241582602L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.10983291082687, False, 'best']
['zevbader', 202594435, 'impression', '14', 241591340L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.126760861964738, False, 'best']
['zevbader', 202594435, 'impression', '15', 241587476L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.122416210846478, False, 'best']
['zevbader', 202594435, 'impression', '4', 241590370L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.222017999665927, False, 'best']
['zevbader', 202594435, 'impression', '6', 241586522L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.171947165220804, False, 'best']
['zevbader', 202594435, 'impression', '10', 241600500L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.135590395396009, True, 'best']
['zevbader', 202594435, 'impression', '18', 241617186L, datetime.datetime(2013, 5, 29, 22, 30, 6), 0.110582330023495, False, 'best']
