['vatandoustteam', 202586257, 'impression', '10', 241415902L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.0856086952580783, False, 'best']
['vatandoustteam', 202586257, 'impression', '6', 241411932L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.12029117536948, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241409656L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '3', 241414445L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.206381454342298, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241416090L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.24573452160303, False, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241412890L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.267744717918251, False, 'best']
['vatandoustteam', 202586257, 'impression', '9', 241414464L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.0918440061751777, False, 'best']
['vatandoustteam', 202586257, 'impression', '7', 241410735L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.113305171034562, False, 'best']
['vatandoustteam', 202586257, 'impression', '8', 241408209L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '5', 241407547L, datetime.datetime(2013, 5, 27, 17, 13, 53), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '10', 241415902L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.0856086952580783, False, 'best']
['vatandoustteam', 202586257, 'impression', '5', 241407547L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.135805426259404, False, 'best']
['vatandoustteam', 202586257, 'impression', '8', 241408209L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.110122522069253, False, 'best']
['vatandoustteam', 202586257, 'impression', '7', 241410735L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.113305171034562, False, 'best']
['vatandoustteam', 202586257, 'impression', '6', 241411932L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.12029117536948, False, 'best']
['vatandoustteam', 202586257, 'impression', '2', 241416090L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.24573452160303, False, 'best']
['vatandoustteam', 202586257, 'impression', '9', 241414464L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.0918440061751777, False, 'best']
['vatandoustteam', 202586257, 'impression', '1', 241412890L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.267744717918251, False, 'best']
['vatandoustteam', 202586257, 'impression', '4', 241409656L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.152177130456024, False, 'best']
['vatandoustteam', 202586257, 'impression', '3', 241414445L, datetime.datetime(2013, 5, 27, 17, 14, 45), 0.206381454342298, False, 'best']

