['tgimmarketing', 202546799, 'collapse_tile', '3', 240583334L, datetime.datetime(2013, 5, 17, 3, 35, 22), 0.0196139189676534, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240583334L, datetime.datetime(2013, 5, 17, 3, 35, 26), 0.0196139189676534, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240583334L, datetime.datetime(2013, 5, 17, 3, 35, 27), 0.0196139189676534, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240585073L, datetime.datetime(2013, 5, 17, 3, 35, 27), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '5', 240586073L, datetime.datetime(2013, 5, 17, 3, 35, 35), 0.0391824276721857, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240585073L, datetime.datetime(2013, 5, 17, 3, 35, 46), 0.0488663203439, False, 'best']

['tgimmarketing', 202546799, 'impression', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 34, 37), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240585073L, datetime.datetime(2013, 5, 17, 15, 34, 37), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 15, 34, 37), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 15, 34, 37), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 34, 44), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 34, 55), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 15, 34, 55), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240585073L, datetime.datetime(2013, 5, 17, 15, 34, 55), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 15, 34, 55), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 15, 45, 13), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240585073L, datetime.datetime(2013, 5, 17, 15, 45, 13), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 45, 13), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 15, 45, 13), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 45, 16), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240585073L, datetime.datetime(2013, 5, 17, 15, 45, 22), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 15, 45, 28), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240573874L, datetime.datetime(2013, 5, 17, 15, 45, 29), 0.186718185141143, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240585073L, datetime.datetime(2013, 5, 17, 15, 45, 30), 0.0488663203439, False, 'best']
['tgimmarketing', 202546799, 'impression', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 45, 32), 0.0376767227184412, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '4', 240631137L, datetime.datetime(2013, 5, 17, 15, 45, 40), 0.0376767227184412, False, 'best']

['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 17, 4, 55), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240641380L, datetime.datetime(2013, 5, 17, 17, 4, 55), 0.0722377704365142, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '2', 240641380L, datetime.datetime(2013, 5, 17, 17, 4, 59), 0.0722377704365142, False, 'best']
['tgimmarketing', 202546799, 'collapse_tile', '2', 240641380L, datetime.datetime(2013, 5, 17, 17, 5, 22), 0.0722377704365142, False, 'best']
['tgimmarketing', 202546799, 'shortlist', '2', 240641380L, datetime.datetime(2013, 5, 17, 17, 5, 24), 0.0722377704365142, False, 'best']

['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 18, 1, 3), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240641380L, datetime.datetime(2013, 5, 17, 18, 1, 3), 0.0722377704365142, False, 'best']

['tgimmarketing', 202546799, 'impression', '1', 240572454L, datetime.datetime(2013, 5, 17, 21, 21, 29), 0.276754980041789, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240653819L, datetime.datetime(2013, 5, 17, 21, 21, 29), 0.115364595723035, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240641380L, datetime.datetime(2013, 5, 17, 21, 21, 29), 0.0722377704365142, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '2', 240653819L, datetime.datetime(2013, 5, 17, 21, 21, 41), 0.115364595723035, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240653819L, datetime.datetime(2013, 5, 17, 21, 21, 49), 0.115364595723035, False, 'best']
['tgimmarketing', 202546799, 'impression', '2', 240653819L, datetime.datetime(2013, 5, 17, 21, 21, 50), 0.115364595723035, False, 'best']
['tgimmarketing', 202546799, 'impression', '3', 240641380L, datetime.datetime(2013, 5, 17, 21, 21, 50), 0.0722377704365142, False, 'best']
['tgimmarketing', 202546799, 'expand_tile', '2', 240653819L, datetime.datetime(2013, 5, 17, 21, 21, 51), 0.115364595723035, False, 'best']

