['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 7, 0, 9), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'view_full_application_via_message', '7', 241140051L, datetime.datetime(2013, 5, 24, 7, 0, 17), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 7, 5, 11), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 7, 5, 14), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 7, 5, 15), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'shortlist', '7', 241140051L, datetime.datetime(2013, 5, 24, 7, 5, 16), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 7, 5, 18), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', None, 241139941L, datetime.datetime(2013, 5, 24, 7, 5, 19), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 7, 5, 19), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'shortlist', '9', 241139941L, datetime.datetime(2013, 5, 24, 7, 5, 19), 0.584712020137894, False, 'time']

['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 8, 40, 12), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 8, 40, 38), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'expand_tile', '3', 241156830L, datetime.datetime(2013, 5, 24, 8, 40, 39), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 8, 41, 43), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 8, 49, 51), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 8, 57, 8), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 9, 2, 54), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 9, 7, 45), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 9, 10, 14), 0.35209001791646, False, 'time']
