['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 20, 17, 44, 19), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '4', 240454869L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '8', 240438885L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '3', 240597702L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0382890712639176, False, 'time']
['persau26', 202537706, 'impression', '10', 240406719L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '14', 240385322L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '11', 240397689L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.118189012245099, True, 'time']
['persau26', 202537706, 'impression', '7', 240448825L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '1', 240750125L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0467078269487226, False, 'time']
['persau26', 202537706, 'impression', '2', 240651999L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.113576526317903, False, 'time']
['persau26', 202537706, 'impression', '6', 240448866L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '5', 240453696L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 20, 17, 46, 50), 0.142234897610929, False, 'time']

['persau26', 202537706, 'impression', '3', 240597702L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0382890712639176, False, 'time']
['persau26', 202537706, 'impression', '10', 240406719L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '8', 240438885L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '13', 240385322L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '4', 240454869L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '1', 240750125L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0467078269487226, False, 'time']
['persau26', 202537706, 'impression', '7', 240448825L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '5', 240453696L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '2', 240651999L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.113576526317903, False, 'time']
['persau26', 202537706, 'impression', '6', 240448866L, datetime.datetime(2013, 5, 22, 12, 12, 59), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '6', 240448866L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '2', 240651999L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.113576526317903, False, 'time']
['persau26', 202537706, 'impression', '5', 240453696L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '1', 240750125L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0467078269487226, False, 'time']
['persau26', 202537706, 'impression', '7', 240448825L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '13', 240385322L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '4', 240454869L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '8', 240438885L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '3', 240597702L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0382890712639176, False, 'time']
['persau26', 202537706, 'impression', '10', 240406719L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 22, 12, 13, 55), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '13', 240385322L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '10', 240406719L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '8', 240438885L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '3', 240597702L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0382890712639176, False, 'time']
['persau26', 202537706, 'impression', '4', 240454869L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '1', 240750125L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0467078269487226, False, 'time']
['persau26', 202537706, 'impression', '7', 240448825L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0662742120949871, False, 'time']
['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '5', 240453696L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '6', 240448866L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '2', 240651999L, datetime.datetime(2013, 5, 22, 12, 15, 24), 0.113576526317903, False, 'time']
['persau26', 202537706, 'impression', '9', 240420465L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.142234897610929, False, 'time']
['persau26', 202537706, 'impression', '10', 240406719L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0397863958941307, False, 'time']
['persau26', 202537706, 'impression', '8', 240438885L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.161357408709334, False, 'time']
['persau26', 202537706, 'impression', '3', 240597702L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0382890712639176, False, 'time']
['persau26', 202537706, 'impression', '4', 240454869L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0674398476956398, False, 'time']
['persau26', 202537706, 'impression', '6', 240448866L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0454856612469379, False, 'time']
['persau26', 202537706, 'impression', '5', 240453696L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.135170242590852, False, 'time']
['persau26', 202537706, 'impression', '2', 240651999L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.113576526317903, False, 'time']
['persau26', 202537706, 'impression', '13', 240385322L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0804025458691972, False, 'time']
['persau26', 202537706, 'impression', '1', 240750125L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0467078269487226, False, 'time']
['persau26', 202537706, 'impression', '7', 240448825L, datetime.datetime(2013, 5, 22, 12, 18, 28), 0.0662742120949871, False, 'time']

