['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 28, 23, 34, 14), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 28, 23, 34, 14), 0.0865450591170275, False, 'time']

['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '7', 240958518L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '8', 240951641L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '6', 240960904L, datetime.datetime(2013, 5, 29, 0, 49, 7), 0.0412630791559163, False, 'time']

['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '7', 240958518L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '8', 240951641L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '6', 240960904L, datetime.datetime(2013, 5, 29, 6, 8, 15), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '7', 240958518L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '6', 240960904L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '8', 240951641L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 6, 8, 47), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '8', 240951641L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '7', 240958518L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '6', 240960904L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 6, 9, 30), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 6, 9, 38), 0.042427851706768, False, 'time']

['drivalin', 202564708, 'impression', '5', 240976003L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0659898311465903, False, 'time']
['drivalin', 202564708, 'impression', '4', 240987412L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.042427851706768, False, 'time']
['drivalin', 202564708, 'impression', '7', 240958518L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0130199554973997, False, 'time']
['drivalin', 202564708, 'impression', '6', 240960904L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0412630791559163, False, 'time']
['drivalin', 202564708, 'impression', '8', 240951641L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.112656702142897, False, 'time']
['drivalin', 202564708, 'impression', '2', 241126155L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0865450591170275, False, 'time']
['drivalin', 202564708, 'impression', '3', 241023640L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0733092950060488, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 14, 3, 56), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'impression', '1', 241136957L, datetime.datetime(2013, 5, 29, 14, 3, 58), 0.0678300089121424, False, 'time']
['drivalin', 202564708, 'unshortlist', '1', 241136957L, datetime.datetime(2013, 5, 29, 14, 4, 3), 0.0678300089121424, False, 'time']

