['rkvmogul', 202574281, 'impression', '8', 241135981L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241137174L, datetime.datetime(2013, 5, 23, 19, 48, 47), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136007L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241136734L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241135981L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241137068L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241136237L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241137174L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241136265L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '1', 241137735L, datetime.datetime(2013, 5, 23, 19, 51, 46), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241136265L, datetime.datetime(2013, 5, 23, 19, 59, 14), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '9', 241136007L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241139627L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241137174L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '1', 241139672L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'impression', '5', 241137068L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241136237L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241137735L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136265L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241136734L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '10', 241135981L, datetime.datetime(2013, 5, 23, 20, 5, 40), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '2', 241139627L, datetime.datetime(2013, 5, 23, 20, 5, 46), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'send_message', '2', 241139627L, datetime.datetime(2013, 5, 23, 20, 5, 52), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'send_message', '2', 241139627L, datetime.datetime(2013, 5, 23, 20, 6, 7), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '2', 241139627L, datetime.datetime(2013, 5, 23, 20, 6, 10), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241139672L, datetime.datetime(2013, 5, 23, 20, 6, 13), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'send_message', '1', 241139672L, datetime.datetime(2013, 5, 23, 20, 6, 23), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241139672L, datetime.datetime(2013, 5, 23, 20, 6, 26), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'impression', '4', 241137735L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241136265L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '1', 241140398L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0583007079534321, False, 'time']
['rkvmogul', 202574281, 'impression', '10', 241136007L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241136734L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '11', 241135981L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241137068L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'impression', '9', 241136237L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241139672L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'impression', '3', 241139627L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241137174L, datetime.datetime(2013, 5, 23, 20, 12, 47), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241140398L, datetime.datetime(2013, 5, 23, 20, 12, 55), 0.0583007079534321, False, 'time']
['rkvmogul', 202574281, 'send_message', '1', 241140398L, datetime.datetime(2013, 5, 23, 20, 12, 57), 0.0583007079534321, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '1', 241140398L, datetime.datetime(2013, 5, 23, 20, 13, 1), 0.0583007079534321, False, 'time']

['rkvmogul', 202574281, 'impression', '1', 241141785L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.171314005127261, False, 'time']
['rkvmogul', 202574281, 'impression', '4', 241139672L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0807100989912243, True, 'time']
['rkvmogul', 202574281, 'impression', '14', 241134931L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.222600145882614, False, 'time']
['rkvmogul', 202574281, 'impression', '12', 241136007L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241141139L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0394059166513982, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241140398L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0583007079534321, False, 'time']
['rkvmogul', 202574281, 'impression', '6', 241137735L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0611194856193144, False, 'time']
['rkvmogul', 202574281, 'impression', '10', 241136265L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.215948171247626, False, 'time']
['rkvmogul', 202574281, 'impression', '9', 241136734L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '13', 241135981L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '5', 241139627L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0775433286666095, False, 'time']
['rkvmogul', 202574281, 'impression', '7', 241137174L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '11', 241136237L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.042837448570352, False, 'time']
['rkvmogul', 202574281, 'impression', '8', 241137068L, datetime.datetime(2013, 5, 23, 21, 6, 33), 0.0442948840993382, False, 'time']
['rkvmogul', 202574281, 'expand_tile', '4', 241139672L, datetime.datetime(2013, 5, 23, 21, 6, 42), 0.0807100989912243, True, 'time']

['rkvmogul', 202574281, 'impression', '7', 241137174L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0170784770335651, False, 'time']
['rkvmogul', 202574281, 'impression', '9', 241136734L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0157432362057004, False, 'time']
['rkvmogul', 202574281, 'impression', '13', 241135981L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0364454603777954, False, 'time']
['rkvmogul', 202574281, 'impression', '3', 241140398L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0583007079534321, False, 'time']
['rkvmogul', 202574281, 'impression', '12', 241136007L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0548940228886379, False, 'time']
['rkvmogul', 202574281, 'impression', '14', 241134931L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.222600145882614, False, 'time']
['rkvmogul', 202574281, 'impression', '2', 241141139L, datetime.datetime(2013, 5, 23, 22, 47, 58), 0.0394059166513982, False, 'time']
