['maximallimit', 202581370, 'impression', '14', 241295881L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.116560917531685, False, 'best']
['maximallimit', 202581370, 'impression', '10', 241295329L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.155081085118348, False, 'best']
['maximallimit', 202581370, 'impression', '4', 241296082L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.293976809447885, False, 'best']
['maximallimit', 202581370, 'impression', '17', 241298122L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.066578725295301, False, 'best']
['maximallimit', 202581370, 'impression', '8', 241295201L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.160460070649391, False, 'best']
['maximallimit', 202581370, 'impression', '6', 241294197L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.212923363028869, False, 'best']
['maximallimit', 202581370, 'impression', '2', 241293898L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.384893508261996, False, 'best']
['maximallimit', 202581370, 'impression', '1', 241294880L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.486861392399101, False, 'best']
['maximallimit', 202581370, 'impression', '9', 241293601L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.159115470081783, False, 'best']
['maximallimit', 202581370, 'impression', '5', 241297813L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.239520376855378, False, 'best']
['maximallimit', 202581370, 'impression', '16', 241295343L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.0754190965296003, False, 'best']
['maximallimit', 202581370, 'impression', '13', 241293589L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.12088761994697, False, 'best']
['maximallimit', 202581370, 'impression', '3', 241296083L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.346139470707114, False, 'best']
['maximallimit', 202581370, 'impression', '12', 241293754L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.136021905879317, False, 'best']
['maximallimit', 202581370, 'impression', '11', 241294088L, datetime.datetime(2013, 5, 25, 23, 18, 29), 0.144074237083856, False, 'best']

