['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 24, 7, 29, 52), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 7, 29, 54), 0.534213402260029, False, 'best']
['papagel', 202572255, 'view_full_application_via_name', '2', 241090852L, datetime.datetime(2013, 5, 24, 7, 31, 8), 0.424846945527184, False, 'best']

['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 24, 8, 50, 24), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 24, 8, 51, 30), 0.325533127940592, False, 'best']
['papagel', 202572255, 'view_full_application_via_name', '2', 241090852L, datetime.datetime(2013, 5, 24, 8, 51, 36), 0.424846945527184, False, 'best']

['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.304834236043886, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 27, 8, 47, 53), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '2', 241090852L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '1', 241094215L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.534213402260029, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 27, 8, 48, 16), 0.304834236043886, False, 'best']
['papagel', 202572255, 'expand_tile', '2', 241090852L, datetime.datetime(2013, 5, 27, 8, 48, 26), 0.424846945527184, False, 'best']
['papagel', 202572255, 'view_full_application_via_message', '2', 241090852L, datetime.datetime(2013, 5, 27, 8, 48, 28), 0.424846945527184, False, 'best']
['papagel', 202572255, 'impression', '3', 241093562L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.325533127940592, False, 'best']
['papagel', 202572255, 'impression', '7', 241101892L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.0988740607057532, False, 'best']
['papagel', 202572255, 'impression', '4', 241092883L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.306284471225278, False, 'best']
['papagel', 202572255, 'impression', '6', 241132018L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.162544790888167, False, 'best']
['papagel', 202572255, 'impression', '5', 241092332L, datetime.datetime(2013, 5, 27, 9, 14, 33), 0.304834236043886, False, 'best']
