['scottmacea', 202550938, 'expand_tile', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 42, 15), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 42, 16), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'impression', None, 240653561L, datetime.datetime(2013, 5, 17, 19, 42, 20), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240653561L, datetime.datetime(2013, 5, 17, 19, 42, 20), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 42, 22), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 42, 24), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 42, 24), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'expand_tile', '6', 240653492L, datetime.datetime(2013, 5, 17, 19, 42, 24), 0.0480738942053835, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 42, 52), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 42, 52), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'expand_tile', '7', 240653317L, datetime.datetime(2013, 5, 17, 19, 42, 53), 0.312979278724356, False, 'time']
['scottmacea', 202550938, 'impression', '8', 240653189L, datetime.datetime(2013, 5, 17, 19, 44, 5), 0.120629047963688, False, 'time']
['scottmacea', 202550938, 'expand_tile', '8', 240653189L, datetime.datetime(2013, 5, 17, 19, 44, 7), 0.120629047963688, False, 'time']
['scottmacea', 202550938, 'shortlist', '9', 240653112L, datetime.datetime(2013, 5, 17, 19, 45, 27), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'expand_tile', '9', 240653112L, datetime.datetime(2013, 5, 17, 19, 45, 27), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'impression', '10', 240653086L, datetime.datetime(2013, 5, 17, 19, 46, 9), 0.0576655237713669, False, 'time']
['scottmacea', 202550938, 'impression', '10', 240653086L, datetime.datetime(2013, 5, 17, 19, 46, 9), 0.0576655237713669, False, 'time']
['scottmacea', 202550938, 'expand_tile', '10', 240653086L, datetime.datetime(2013, 5, 17, 19, 46, 10), 0.0576655237713669, False, 'time']
['scottmacea', 202550938, 'impression', '11', 240653010L, datetime.datetime(2013, 5, 17, 19, 46, 44), 0.191034311753, False, 'time']
['scottmacea', 202550938, 'expand_tile', '11', 240653010L, datetime.datetime(2013, 5, 17, 19, 46, 50), 0.191034311753, False, 'time']
['scottmacea', 202550938, 'impression', '12', 240652966L, datetime.datetime(2013, 5, 17, 19, 47, 5), 0.0792492607995459, False, 'time']
['scottmacea', 202550938, 'impression', '12', 240652966L, datetime.datetime(2013, 5, 17, 19, 47, 5), 0.0792492607995459, False, 'time']
['scottmacea', 202550938, 'expand_tile', '12', 240652966L, datetime.datetime(2013, 5, 17, 19, 47, 6), 0.0792492607995459, False, 'time']
['scottmacea', 202550938, 'expand_tile', '13', 240652952L, datetime.datetime(2013, 5, 17, 19, 47, 52), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'shortlist', '13', 240652952L, datetime.datetime(2013, 5, 17, 19, 47, 52), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'expand_tile', '14', 240652882L, datetime.datetime(2013, 5, 17, 19, 48, 11), 0.0372127181415268, False, 'time']
['scottmacea', 202550938, 'impression', '14', 240652882L, datetime.datetime(2013, 5, 17, 19, 48, 11), 0.0372127181415268, False, 'time']
['scottmacea', 202550938, 'impression', '14', 240652882L, datetime.datetime(2013, 5, 17, 19, 48, 11), 0.0372127181415268, False, 'time']
['scottmacea', 202550938, 'impression', '16', 240652868L, datetime.datetime(2013, 5, 17, 19, 48, 31), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'impression', '15', 240652878L, datetime.datetime(2013, 5, 17, 19, 48, 31), 0.0177188799463926, False, 'time']
['scottmacea', 202550938, 'impression', '15', 240652878L, datetime.datetime(2013, 5, 17, 19, 48, 31), 0.0177188799463926, False, 'time']
['scottmacea', 202550938, 'expand_tile', '15', 240652878L, datetime.datetime(2013, 5, 17, 19, 48, 32), 0.0177188799463926, False, 'time']
['scottmacea', 202550938, 'expand_tile', '16', 240652868L, datetime.datetime(2013, 5, 17, 19, 49, 26), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'shortlist', '16', 240652868L, datetime.datetime(2013, 5, 17, 19, 49, 26), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'send_message', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 51, 42), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'expand_tile', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 26), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', None, 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 29), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 29), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', None, 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 29), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 29), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'expand_tile', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 30), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'expand_tile', '17', 240652860L, datetime.datetime(2013, 5, 17, 19, 52, 30), 0.0237565078784444, False, 'time']
