['evelee', 202576639, 'impression', '13', 241182177L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.36176855795966, False, 'time']
['evelee', 202576639, 'impression', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.738635970258876, False, 'time']
['evelee', 202576639, 'impression', '7', 241183101L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.795569770512779, False, 'time']
['evelee', 202576639, 'impression', '6', 241183681L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.51890102686099, False, 'time']
['evelee', 202576639, 'impression', '14', 241181808L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '11', 241182699L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.727959278065558, False, 'time']
['evelee', 202576639, 'impression', '8', 241183089L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.709783538049443, False, 'time']
['evelee', 202576639, 'impression', '3', 241186870L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.312495115518445, False, 'time']
['evelee', 202576639, 'impression', '10', 241182894L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.608817232246671, False, 'time']
['evelee', 202576639, 'impression', '1', 241188463L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.522886442554507, False, 'time']
['evelee', 202576639, 'impression', '12', 241182668L, datetime.datetime(2013, 5, 24, 11, 23, 36), 0.770797053886331, False, 'time']
['evelee', 202576639, 'expand_tile', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 23, 46), 0.738635970258876, False, 'time']
['evelee', 202576639, 'view_full_application', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 23, 48), 0.738635970258876, False, 'time']
['evelee', 202576639, 'impression', '8', 241183089L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.709783538049443, False, 'time']
['evelee', 202576639, 'impression', '3', 241186870L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.312495115518445, False, 'time']
['evelee', 202576639, 'impression', '10', 241182894L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.608817232246671, False, 'time']
['evelee', 202576639, 'impression', '11', 241182699L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.727959278065558, False, 'time']
['evelee', 202576639, 'impression', '2', 241187240L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.517388846862868, False, 'time']
['evelee', 202576639, 'impression', '5', 241184803L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.308406639495447, False, 'time']
['evelee', 202576639, 'impression', '1', 241188463L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.522886442554507, False, 'time']
['evelee', 202576639, 'impression', '12', 241182668L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.770797053886331, False, 'time']
['evelee', 202576639, 'impression', '16', 241180800L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', '15', 241181003L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.738635970258876, False, 'time']
['evelee', 202576639, 'impression', '7', 241183101L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.795569770512779, False, 'time']
['evelee', 202576639, 'impression', '13', 241182177L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.36176855795966, False, 'time']
['evelee', 202576639, 'impression', '9', 241183061L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.576945372809837, False, 'time']
['evelee', 202576639, 'impression', '6', 241183681L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.51890102686099, False, 'time']
['evelee', 202576639, 'impression', '14', 241181808L, datetime.datetime(2013, 5, 24, 11, 26, 40), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 26, 43), 0.738635970258876, False, 'time']
['evelee', 202576639, 'shortlist', '4', 241185902L, datetime.datetime(2013, 5, 24, 11, 26, 46), 0.738635970258876, False, 'time']
['evelee', 202576639, 'shortlist', '16', 241180800L, datetime.datetime(2013, 5, 24, 11, 27, 1), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', '15', 241181003L, datetime.datetime(2013, 5, 24, 11, 27, 2), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '15', 241181003L, datetime.datetime(2013, 5, 24, 11, 27, 5), 0.609255565249122, False, 'time']
['evelee', 202576639, 'impression', '16', 241180800L, datetime.datetime(2013, 5, 24, 11, 27, 6), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', None, 241180800L, datetime.datetime(2013, 5, 24, 11, 27, 6), 0.912748369282073, False, 'time']
['evelee', 202576639, 'impression', '14', 241181808L, datetime.datetime(2013, 5, 24, 11, 27, 7), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '14', 241181808L, datetime.datetime(2013, 5, 24, 11, 27, 9), 0.475999491994642, False, 'time']
['evelee', 202576639, 'impression', '13', 241182177L, datetime.datetime(2013, 5, 24, 11, 27, 10), 0.36176855795966, False, 'time']
['evelee', 202576639, 'impression', '12', 241182668L, datetime.datetime(2013, 5, 24, 11, 27, 11), 0.770797053886331, False, 'time']
['evelee', 202576639, 'impression', '12', 241182668L, datetime.datetime(2013, 5, 24, 11, 27, 12), 0.770797053886331, False, 'time']
['evelee', 202576639, 'impression', '11', 241182699L, datetime.datetime(2013, 5, 24, 11, 27, 17), 0.727959278065558, False, 'time']
