['bruno2121', 202564731, 'impression', '4', 240957108L, datetime.datetime(2013, 5, 22, 5, 19, 50), 0.118166432315444, False, 'time']
['bruno2121', 202564731, 'view_full_application_via_name', '8', 240951049L, datetime.datetime(2013, 5, 22, 5, 19, 53), 0.563512369883381, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240957108L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.118166432315444, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240964056L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240952469L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '2', 240970094L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240955860L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240951049L, datetime.datetime(2013, 5, 22, 5, 21, 2), 0.563512369883381, False, 'time']
['bruno2121', 202564731, 'expand_tile', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 21, 7), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'view_full_application_via_name', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 21, 9), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240951049L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.563512369883381, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240955860L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240956772L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240964056L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240957108L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.118166432315444, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240952469L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '2', 240970094L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '1', 240980323L, datetime.datetime(2013, 5, 22, 5, 21, 21), 0.662176792726776, False, 'time']

['bruno2121', 202564731, 'impression', '5', 240964056L, datetime.datetime(2013, 5, 27, 16, 19), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240956772L, datetime.datetime(2013, 5, 27, 16, 19), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '2', 241020548L, datetime.datetime(2013, 5, 27, 16, 19), 0.421170297422979, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240952469L, datetime.datetime(2013, 5, 27, 16, 19), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240980323L, datetime.datetime(2013, 5, 27, 16, 19), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240970094L, datetime.datetime(2013, 5, 27, 16, 19), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '1', 241245743L, datetime.datetime(2013, 5, 27, 16, 19), 0.373136928441583, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240955860L, datetime.datetime(2013, 5, 27, 16, 19), 0.200483712973228, False, 'time']

['bruno2121', 202564731, 'impression', '1', 241245743L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.373136928441583, False, 'time']
['bruno2121', 202564731, 'impression', '2', 241020548L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.421170297422979, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240956772L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240964056L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.53340386520364, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240980323L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240970094L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240952469L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240955860L, datetime.datetime(2013, 5, 28, 9, 25, 41), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '1', 241245743L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.373136928441583, False, 'time']
['bruno2121', 202564731, 'impression', '7', 240955860L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.200483712973228, False, 'time']
['bruno2121', 202564731, 'impression', '3', 240980323L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.662176792726776, False, 'time']
['bruno2121', 202564731, 'impression', '4', 240970094L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.700401728189985, False, 'time']
['bruno2121', 202564731, 'impression', '8', 240952469L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.340770499250837, False, 'time']
['bruno2121', 202564731, 'impression', '6', 240956772L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.577779520245408, False, 'time']
['bruno2121', 202564731, 'impression', '2', 241020548L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.421170297422979, False, 'time']
['bruno2121', 202564731, 'impression', '5', 240964056L, datetime.datetime(2013, 5, 28, 9, 26, 30), 0.53340386520364, False, 'time']

