['supportmycomp', 202538813, 'impression', '7', 240417065L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0749892359558958, False, 'time']
['supportmycomp', 202538813, 'impression', '16', 240407383L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0585460211933621, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240434469L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.03082097588123, False, 'time']
['supportmycomp', 202538813, 'impression', '8', 240416691L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0832136324308416, False, 'time']
['supportmycomp', 202538813, 'impression', '11', 240411905L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '6', 240420978L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240412463L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '2', 240435824L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '20', 240402459L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0451923899238203, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240439126L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0221051850981452, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240404539L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.00509458112963209, False, 'time']
['supportmycomp', 202538813, 'impression', '19', 240403977L, datetime.datetime(2013, 5, 15, 11, 23, 37), 0.0926244334756401, False, 'time']

['supportmycomp', 202538813, 'impression', '11', 240412463L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '12', 240411905L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240435824L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '7', 240420978L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240447321L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0155918183176049, False, 'time']
['supportmycomp', 202538813, 'impression', '5', 240432348L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0165508177106349, False, 'time']
['supportmycomp', 202538813, 'impression', '16', 240409010L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0304526894060081, False, 'time']
['supportmycomp', 202538813, 'impression', '13', 240411789L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.031555930326049, False, 'time']
['supportmycomp', 202538813, 'impression', '18', 240407318L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.10139350261272, False, 'time']
['supportmycomp', 202538813, 'impression', '14', 240410562L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0599091491703874, False, 'time']
['supportmycomp', 202538813, 'impression', '10', 240414285L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0026613099377875, False, 'time']
['supportmycomp', 202538813, 'impression', '15', 240409643L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0149494517178478, False, 'time']
['supportmycomp', 202538813, 'impression', '8', 240417065L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0749892359558958, False, 'time']
['supportmycomp', 202538813, 'impression', '17', 240407383L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0585460211933621, False, 'time']
['supportmycomp', 202538813, 'impression', '4', 240434469L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.03082097588123, False, 'time']
['supportmycomp', 202538813, 'impression', '9', 240416691L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0832136324308416, False, 'time']
['supportmycomp', 202538813, 'impression', '19', 240404539L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.00509458112963209, False, 'time']
['supportmycomp', 202538813, 'impression', '20', 240403977L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0926244334756401, False, 'time']
['supportmycomp', 202538813, 'impression', '2', 240439126L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0221051850981452, False, 'time']
['supportmycomp', 202538813, 'impression', '6', 240421287L, datetime.datetime(2013, 5, 15, 12, 6, 57), 0.0149474423364498, False, 'time']
['supportmycomp', 202538813, 'impression', '20', 240403977L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0926244334756401, False, 'time']
['supportmycomp', 202538813, 'impression', '19', 240404539L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.00509458112963209, False, 'time']
['supportmycomp', 202538813, 'impression', '2', 240439126L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0221051850981452, False, 'time']
['supportmycomp', 202538813, 'impression', '13', 240411789L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.031555930326049, False, 'time']
['supportmycomp', 202538813, 'impression', '7', 240420978L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0123981893197843, False, 'time']
['supportmycomp', 202538813, 'impression', '12', 240411905L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0112793957042023, False, 'time']
['supportmycomp', 202538813, 'impression', '11', 240412463L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0232475633397953, False, 'time']
['supportmycomp', 202538813, 'impression', '3', 240435824L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0637842593112629, False, 'time']
['supportmycomp', 202538813, 'impression', '5', 240432348L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0165508177106349, False, 'time']
['supportmycomp', 202538813, 'impression', '1', 240447321L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0155918183176049, False, 'time']
['supportmycomp', 202538813, 'impression', '16', 240409010L, datetime.datetime(2013, 5, 15, 12, 7, 26), 0.0304526894060081, False, 'time']
