['astroboy123', 202568019, 'expand_tile', '4', 241022481L, datetime.datetime(2013, 5, 23, 8, 7, 24), 0.01242466622842, False, 'time']

['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 6, 29), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 28, 37), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 29, 46), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 29, 52), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 29, 54), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'expand_tile', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 29, 59), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'view_full_application', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 30, 1), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 33, 28), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'expand_tile', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 33), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 36), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 40), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 41), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 41), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 43), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 44), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 47), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 50), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 50), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 51), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'view_full_application', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 33, 51), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 34, 14), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'view_full_application_via_name', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 34, 21), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '3', 241085211L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0189279665099872, False, 'time']
['astroboy123', 202568019, 'impression', '9', 241014331L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0669857186596949, False, 'time']
['astroboy123', 202568019, 'impression', '10', 241014215L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0599966137592486, False, 'time']
['astroboy123', 202568019, 'impression', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.132560543167905, False, 'time']
['astroboy123', 202568019, 'impression', '4', 241036478L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0523592555670619, False, 'time']
['astroboy123', 202568019, 'impression', '8', 241014448L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.07157454499178, False, 'time']
['astroboy123', 202568019, 'impression', '1', 241086211L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.104355610577479, False, 'time']
['astroboy123', 202568019, 'impression', '7', 241014596L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0203257409239421, False, 'time']
['astroboy123', 202568019, 'impression', '6', 241018514L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0259979949688074, False, 'time']
['astroboy123', 202568019, 'impression', '5', 241022481L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.01242466622842, False, 'time']
['astroboy123', 202568019, 'impression', '11', 241013602L, datetime.datetime(2013, 5, 23, 9, 34, 49), 0.0216296254510617, False, 'time']
['astroboy123', 202568019, 'view_full_application_via_name', '2', 241085266L, datetime.datetime(2013, 5, 23, 9, 34, 50), 0.132560543167905, False, 'time']
