['dawnkp', 202591260, 'impression', '10', 241519774L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0890553253042113, False, 'best']
['dawnkp', 202591260, 'impression', '3', 241521037L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.148516290947718, False, 'best']
['dawnkp', 202591260, 'impression', '20', 241517443L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.054432913517588, False, 'best']
['dawnkp', 202591260, 'impression', '19', 241521531L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0560962433474269, False, 'best']
['dawnkp', 202591260, 'impression', '9', 241518002L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0942887940972586, False, 'best']
['dawnkp', 202591260, 'impression', '1', 241519006L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.282397646454174, False, 'best']
['dawnkp', 202591260, 'impression', '8', 241520093L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0950193533563779, False, 'best']
['dawnkp', 202591260, 'impression', '7', 241519511L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0967089921522162, True, 'best']
['dawnkp', 202591260, 'impression', '4', 241536870L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.146278496780176, False, 'best']
['dawnkp', 202591260, 'impression', '5', 241528124L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.114229487514248, False, 'best']
['dawnkp', 202591260, 'impression', '12', 241518398L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.071808144808852, False, 'best']
['dawnkp', 202591260, 'impression', '2', 241519117L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.149176358824043, False, 'best']
['dawnkp', 202591260, 'impression', '15', 241517924L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0684651760994248, False, 'best']
['dawnkp', 202591260, 'impression', '11', 241517194L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0852646903360655, False, 'best']
['dawnkp', 202591260, 'impression', '16', 241519557L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0632149208646254, False, 'best']
['dawnkp', 202591260, 'impression', '17', 241517879L, datetime.datetime(2013, 5, 29, 2, 15, 11), 0.0570069159534798, False, 'best']

